,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,383800,500,26,51,서울,구로구
1,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,286200,500,26,,서울,구로구
2,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,391500,500,26,53,서울,구로구
3,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,46,서울,구로구
4,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,,서울,구로구
5,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,,서울,구로구
6,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,41,서울,강남구
7,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,,서울,구로구
8,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,52,서울,구로구
9,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,41,서울,구로구
10,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,44,서울,구로구
11,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,38,서울,구로구
12,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,31,서울,구로구
13,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,34,서울,구로구
14,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,41,서울,구로구
15,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,45,서울,구로구
16,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,44,서울,강남구
17,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,61,서울,구로구
18,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,41,서울,구로구
19,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,35,서울,구로구
20,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,55,서울,구로구
21,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,49,서울,구로구
22,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,35,서울,구로구
23,한국어교원3급 자격취득 양성과정,사단법인 한국에듀테크산업협회,56,314820,500,,,서울,강남구
24,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46,서울,은평구
25,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,19,925050,11,,52,서울,강남구
26,한국어교원3급 자격취득 양성과정,사단법인 한국에듀테크산업협회,56,314820,500,,,서울,강남구
27,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,40,서울,구로구
28,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,50,서울,구로구
29,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46,서울,은평구
30,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,39,서울,구로구
31,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,38,서울,구로구
32,청년취업아카데미 창직과정,한국생산성본부,29,3204000,300,,21,서울,종로구
33,신직업메이킹랩,한국생산성본부,41,6133500,100,,23,서울,종로구
34,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,46,서울,구로구
35,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,37,서울,구로구
36,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,43,서울,강남구
37,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,49,서울,구로구
38,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,42,서울,구로구
39,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,48,서울,은평구
40,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,40,서울,구로구
41,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,35,서울,구로구
42,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,39,서울,구로구
43,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,49,서울,구로구
44,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,37,서울,강남구
45,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,42,서울,은평구
46,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,40,서울,구로구
47,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,46,서울,구로구
48,한국어교원 자격증 대비반 (문제풀이),은평여성인력개발센터,15,370020,20,21.7,50,서울,은평구
49,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,46,서울,구로구
50,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,38,서울,구로구
51,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,34,서울,구로구
52,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,38,서울,구로구
53,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,59,서울,구로구
54,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,36,서울,구로구
55,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,41,서울,강남구
56,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,,서울,강남구
57,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,48,서울,구로구
58,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,35,서울,구로구
59,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),17,832540,11,,39,서울,마포구
60,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),27,832540,11,,45,서울,마포구
61,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,37,서울,구로구
62,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,,서울,강남구
63,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,60,서울,구로구
64,한국어교원 양성과정(한국어교원 3급 자격증취득),탑직업교육센터,15,740040,12,,44,대구,서구
65,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,27,서울,구로구
66,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,37,서울,구로구
67,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,,서울,강남구
68,한국어교원 양성(한국어교원 3급),은평여성인력개발센터,30,740040,20,21.7,48,서울,은평구
69,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,42,서울,구로구
70,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,46,서울,구로구
71,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,,서울,강남구
