,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29,서울,서초구
1,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,31,서울,영등포구
2,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,302400,500,26.7,46,서울,강남구
3,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,31,서울,영등포구
4,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,49,광주,서구
5,소방설비(산업)기사전기필기,중앙소방안전학원,26,484300,60,57.1,43,광주,서구
6,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,28,936320,18,,33,경기,수원시
7,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29,서울,강남구
8,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,27,서울,강남구
9,캐드디자인도면작성(CAD2D+3D)+ATC캐드마스터 실기,(주)하이미디어컴퓨터학원,40,1331000,30,,36,경기,안양시
10,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31,서울,서초구
11,행정법률사무원 실무양성과정,국민법률세무교육원,21,936320,30,61.8,29,서울,동대문구
12,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30,서울,서초구
13,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33,서울,강남구
14,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30,서울,영등포구
15,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,31,서울,영등포구
16,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,46,서울,강남구
17,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39,경남,창원시
18,(과정평가형)위험물산업기사_2020,모아소방전기학원,86,4004400,23,64.3,44,서울,영등포구
19,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29,서울,영등포구
20,소방설비기사/산업기사 필기 자격취득반[전기분야-이론],대영소방전문학원,15,465670,31,58.3,44,부산,북구
21,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,28,서울,동대문구
22,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,29,서울,영등포구
23,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33,서울,강남구
24,위험물기능사(필기+실기) 자격증 과정,여수노진식취업멘토학원,28,682990,35,,23,전남,여수시
25,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,31,서울,강남구
26,소방설비(산업)기사전기실기,중앙소방안전학원,15,279400,60,57.1,45,광주,서구
27,소방설비(산업)기사기계실기,중앙소방안전학원,15,279400,60,57.1,50,광주,서구
28,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30,서울,영등포구
29,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,28,서울,강남구
30,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,29,서울,영등포구
31,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,26,서울,서초구
32,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,30,서울,동대문구
33,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30,서울,서초구
34,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,28,서울,강남구
35,[과정평가형] 소방설비산업기사(전기분야) 자격취득과정,대영소방전문학원,86,4004400,25,58.3,32,부산,북구
36,회생파산 및 송무법률사무취업과정,구미직업전문교육센터,14,702240,27,,36,경북,구미시
37,개인회생 및 파산 법률사무취업과정,에스앤에스로펌인사노무학원,18,300960,23,,29,서울,강남구
38,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30,서울,영등포구
39,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29,서울,강남구
40,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30,서울,영등포구
41,(과정평가형)소방설비산업기사(전기)_2020,모아소방전기학원,86,4004400,20,64.3,34,서울,영등포구
42,소방설비기사/산업기사 자격취득반[실기+전기전공],대영소방전문학원,15,558810,60,58.3,43,부산,북구
43,소방설비산업기사(전기)[과정평가형],서남직업전문학교,86,8326500,20,,41,전남,목포시
44,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30,서울,서초구
45,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33,서울,강남구
46,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,27,서울,동대문구
47,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,27,서울,서초구
48,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,39,광주,서구
49,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,31,서울,강남구
50,(과정평가형)소방설비산업기사(전기),모아AI직업전문학교,75,4004400,20,,33,서울,영등포구
51,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,43,광주,서구
52,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,32,서울,영등포구
53,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,35,서울,강남구
54,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,31,서울,영등포구
55,위험물기능사(필기+실기) 자격증 과정,여수노진식취업멘토학원,28,682990,35,,23,전남,여수시
56,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29,서울,서초구
57,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,39,서울,강남구
58,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,22,936320,18,,37,경기,수원시
59,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30,서울,영등포구
60,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30,서울,서초구
61,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,40,936320,18,,38,경기,수원시
62,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30,서울,영등포구
63,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,25,서울,동대문구
64,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,44,경북,구미시
65,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,28,서울,강남구
66,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29,서울,서초구
67,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29,서울,영등포구
68,[과정평가형]소방설비산업기사(전기분야),세영직업전문학교,92,4284700,20,40,39,서울,영등포구
69,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30,서울,영등포구
