,과정명,학원명,기간,훈련비,정원,취업률,연령대
0,웹디자인&퍼블리셔 구직자과정,세잔IT직업전문학교,123,4158060,30,94.1,25
1,모바일게임디자이너 양성과정,시드학원,120,2243160,20,,
2,"컴퓨터그래픽(포토샵,일러스트) GTQ자격증취득",이음컴퓨터디자인학원 영대점,40,674280,10,,32
3,시각편집디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,29
4,"멀티미디어콘텐츠개발(프리미어,에프터이펙트)",더조은컴퓨터아트학원,95,4735560,20,,26
5,"그래픽실무(포토샵,일러스트,인디자인)",배움회계캐드컴퓨터학원,30,674280,10,43.6,
6,디자인편집과영상그래픽편집,배움회계캐드컴퓨터학원,50,1123800,10,43.6,29
7,"환경디자인 실내건축전문가(캐드, 맥스, 스케치업)",이젠아카데미,75,3371400,20,66.7,25
8,그래픽디자인자격증취득(GTQ-포토샵1/일러스트1급/인디자인1급 ),크린컴퓨터학원,35,872340,10,35.6,30
9,웹퍼블리셔(웹디자인)UI/UX 프론트앤드 양성과정,더조은퍼스트컴퓨터바리스타학원,95,4270440,20,63,26
10,"게임그래픽(원화,모델링,애니메이션,이펙트)실무자 양성",하이미디어컴퓨터학원,84,4174770,22,46.7,26
11,(과정평가형 자격)실내건축산업기사 취득과정(B반),(주)혜인산업교육원 충남직업전문학교,83,3708540,20,,33
12,디지털디자인(웹&멀티미디어) 양성,(주)탑디자인학원,40,899040,10,55.4,25
13,"디지털영상편집디자인(프리미어,에펙)",이젠아카데미컴퓨터학원,70,1573320,25,,25
14,웹디자인기능사,세잔컴퓨터디자인학원,124,4158060,20,,32
15,시각디자인B,(재)이찬 경남직업능력개발원,115,4495200,22,61.8,
16,UI/UX 웹디자인(웹퍼블리셔),하이미디어IT융합인재개발원,99,4270440,20,63.6,26
17,UI/UX 디자인(웹퍼블리셔),더조은아카데미,92,3596160,20,60.3,22
18,과정평가형 웹디자인기능사,인천직업능력교육원,91,3579303,30,70.4,29
19,2D도면작도와3D투시도제작,에꼴디자인학원,45,1011420,10,,23
20,포토샵&영상편집(프리미어/에펙),윤성회계캐드컴퓨터학원,30,674280,15,40.5,39
21,유니티(Unity) 프로그래밍 시작하기,(사)한국디지털컨버전스협회,28,56700,500,,
22,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,110700,500,33.3,39
23,IT기기 활용을 위한 e-Book과 app-Book,사단법인 한국에듀테크산업협회,28,56700,500,33.3,
24,[탑강] UX디자인 7가지 비밀,한국이러닝협회,28,212700,500,25,
25,"[원격+집체훈련] 영상 모션 편집(포토샵, 프리미어, 애프터이펙트)",(사)한국디지털컨버전스협회,62,1214560,500,41,
26,멀티미디어 콘텐츠 제작 전문가 되기,사단법인 한국에듀테크산업협회,28,56700,500,,
27,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,56700,500,33.3,
28,시각편집디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,28
