,과정명,학원명,기간,훈련비,정원,취업률,연령대
0,커피바리스타 입문자 및 자격증 과정,목포국제직업전문학교,50,1154400,12,29.8,36
1,한식조리기능사 자격증 취득과정,동양요리직업전문학교,31,941780,12,88.9,33
2,바리스타1급 자격증 취득반,존스커피바리스타학원,30,923520,12,,45
3,카페바리스타2급자격증&라떼아트과정,춘경요리커피직업전문학교,30,923520,10,36.9,34
4,한식조리기능사 자격취득과정,둔산음식나라조리제과커피학원,52,1513000,24,50.8,47
5,커피바리스타와 카페브런치(바리스타2급자격증포함),경기외식직업전문학교,50,1539200,15,51.2,27
6,바리스타 전문가 심화반(바리스타1급 자격증&로스팅),고양커피학원,24,923520,12,32.7,29
7,바리스타 자격증 취득 및 양성반,(주)강원인재개발원,20,769600,16,55.8,41
8,바리스타 입문과정 (자격취득 2급),파리디저트아카데미학원,30,923520,10,,30
9,커피바리스타 양성과정,홍명요리학원,38,1154400,16,60.5,31
10,브런치&파스타 조리실무 양성과정,윤옥희요리직업전문학교,32,729120,12,48.9,56
11,중식조리기능사 취득과정(실기),해성요리제과제빵학원,20,455700,12,49.4,44
12,커피 바리스타 양성 & 2급 자격증취득과정,한국정보교육원(구.경원직업전문학교),37,1139000,20,59.7,36
13,양식조리기능사 취득(실기)과 브런치조리 양성과정,둔산음식나라조리제과커피학원,53,1200000,18,50.8,36
14,한식조리기능사 취득과정,월드호텔외식직업전문학교(병점),43,979750,10,67.2,42
15,한식조리기능사 자격취득과정(이론+실기),양산음식나라조리학원,27,820260,15,54.5,46
16,바리스타 2급 자격증 (이론+실기) 취득과정,(주)상록호텔조리직업전문학교,24,538720,18,56.3,49
17,바리스타 향상과정,천안커피교육전문학원,27,623370,18,37.2,33
18,커피바리스타 2급 자격취득 (이론/실기),한국제일요리커피학원,33,754200,10,36.8,32
19,바리스타 자격증 취득과정 및 실무과정,대전음식나라조리제과제빵학원,38,1154400,12,31.6,35
20,커피바리스타2급자격증취득과정(이론+실기),이성실요리커피제빵학원,20,615680,12,26.2,38
21,바리스타 입문과정(바리스타2급 자격증 취득과정),카페바리스타아카데미학원,30,923520,10,51.7,38
22,커피바리스타 자격증 취득과정(초급),한국음식문화직업전문학교,25,577200,18,47.4,47
23,바리스타 2급 자격취득,효성직업능력개발원,33,761900,12,57.6,45
24,"커피 핸드드립, 바리스타1급자격증 (실기)",한솔제과제빵커피바리스타학원,30,993520,15,28.8,35
25,카페 매니져과정,(주)강원인재개발원,17,654160,16,55.8,35
26,양식 조리기능사 자격취득 및 브런치 실무,남양주 직업전문학교,37,835450,10,53.4,59
27,일식조리기능사(이론+실기),전윤숙조리직업전문학교,33,751900,7,54.9,46
28,한식+양식조리기능사 취득 양성(이론+실기),경남요리제과직업전문학교,59,1792420,18,55.3,31
29,바리스타2급 자격취득과정,군산명문요리직업전문학교,33,754200,12,53.4,37
30,한식조리기능사취득,이영자요리학원,30,835450,20,46.2,47
31,한식조리기능사자격취득(이론+실기)&밑반찬 양성2,궁전요리제빵미용직업전문학교,40,1070890,13,66.1,38
32,양식 및 중식조리기능사 취득(이론+실기),다인요리전문학원,42,1275960,8,47.3,28
33,한식조리기능사 취득과정,월드호텔요리제과커피학원,43,979750,12,62.6,45
34,커피바리스타 양성반(2급자격증포함),한솔요리제과제빵아카데미,37,1139000,24,37.7,37
35,중식조리기능사 실기과정(실기 반복),의정부 직업전문학교,20,607600,16,49.6,46
36,커피바리스타(자격증)디저트실무자과정,한국외식제과직업전문학교,52,1600760,15,35.5,31
37,한식가정식 밑반찬실무과정,한솔요리아카데미 강동,20,657600,20,48.1,50
38,한식조리기능사 자격증 취득과정(필기/실기),홍성요리학원,33,811900,15,53.2,45
39,핸드드립 및 라떼아트,광진커피바리스타학원,17,400190,12,40.8,37
40,한식조리기능사 자격증 취득(이론+실기),궁전요리제빵직업전문학교,25,759500,18,56.5,42
41,양식조리기능사자격증취득과정(이론+실기),중앙요리학원,30,683550,10,62.5,37
42,중식조리기능사취득과정(실기),한국음식문화직업전문학교,20,607600,20,56.1,46
43,바리스타양성과정(바리스타2급자격증),고양커피학원,24,923520,18,32.7,38
44,반찬조리전문가(민간)자격증취득과정,전통외식조리직업전문학교,24,911400,18,61.5,51
45,한식조리기능사취득반(필기+실기),동구음식나라조리학원,29,759500,16,45.9,38
46,양식조리기능사 취득(실기)과 브런치조리 양성과정,둔산음식나라조리제과커피학원,42,1200000,18,50.8,44
47,한식조리기능사 취득과정,검단직업능력개발학원,32,1215200,15,43.8,46
48,커피바리스타(2급자격증 포함),경기외식직업전문학교,27,831160,15,51.2,40
49,양식조리기능사 자격 취득과정(이론+실기),(주)상록호텔조리직업전문학교,30,911400,25,75.2,35
50,중식조리기능사 자격증 취득(이론+실기),거제요리전문학원,26,592410,20,60,43
