,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,CAD기계설계(2D/3D)와 3D프린터 양성과정,한백산업디자인학원(구:한백컴퓨터학원),30,1480080,19,48.8,38,서울,영등포구
1,자동차정비차체원,부산자동차직업학교,185,8814880,33,83.4,26,부산,서구
2,항공정비사 구직자 단기과정,에이스(ACE)항공직업전문학교,60,2361600,25,,,인천,부평구
3,CAD실무(2D+3D),동양직업전문학교,20,717600,20,68,26,충남,천안시
4,컴퓨터응용기계설계제작[CAD·CAM·범용밀링·머시닝센터·CNC선반],(주)한국디지털직업전문학교,124,5170250,20,66.7,36,대구,동구
5,CAM(2D/3D)과 머시닝센터 실무 양성과정,한백산업디자인학원(구:한백컴퓨터학원),40,2162560,15,,36,서울,영등포구
6,취업을 위한 기계설계 및 3D모델링(인벤터),아이텍컴퓨터학원,50,1196000,10,,25,전북,익산시
7,기계설계 2D/3D 실기 양성과정,한백산업디자인학원(구:한백컴퓨터학원),12,682040,19,48.8,24,서울,영등포구
8,공조냉동기계,대한기술교육학원,113,5798520,24,80.8,37,대전,중구
9,캐드 기초 및 ATC2급 자격증 취득,글로벌컴퓨터학원,31,478400,20,,21,전남,순천시
10,자동차도장 구직자 양성과정,대덕자동차직업전문학교,208,8338400,30,78.4,26,대전,동구
11,냉동공조설치기술자(공조냉동+에너지+가스+배관),영진직업전문학교,115,5947200,25,78.4,40,대구,동구
12,자동차섀시정비 및 자동차정비사 실무양성과정,그린자동차직업전문학교,138,6551600,30,88.1,28,부산,사상구
13,(과정평가형 자격)전산응용기계제도기능사 취득과정(B반),(주)혜인산업교육원 충남직업전문학교,79,3767400,20,,30,충남,천안시
14,항공정비사 구직자 단기과정,에이스(ACE)항공직업전문학교,63,2361600,25,,22,인천,부평구
15,"카티아(CATIA) 응용 자동차설계(차체,의장,패키지,기계캐드)",이젠아카데미평생교육원,78,2332200,20,80.3,25,서울,서초구
16,자동차엔진정비사양성과정,경남자동차정비학원,36,1489000,14,62.5,29,경남,창원시
17,[탑강] 공유압기능사 필기,한국이러닝협회,28,191700,500,,,서울,구로구
18,"[렛유인] 자동차 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,28,168300,500,64,,서울,구로구
19,전산응용기계제도 실기(캐드 초중급),나우전산학원,80,1435200,20,67.7,26,경남,창원시
20,[탑강] 전산응용기계제도기능사 필기,한국이러닝협회,28,143700,500,58.3,,서울,구로구
