,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,TIG 파이프용접 양성과정,아성직업전문학교,88,5075000,20,,40,경남,김해시
1,자동차 커스텀 페인팅 수전사,본커스텀직업전문학원,40,2507040,10,63.6,31,부산,사상구
2,TIG+전기+CO2용접 인력양성,대산직업전문학교,121,6090000,30,89.7,43,부산,연제구
3,티그용접 향상(실기반),월드용접전문기술학원,24,926690,12,,43,충남,천안시
4,특수용접기능사 실기(맞대기용접),월드용접전문기술학원,30,1158360,12,,37,충남,천안시
5,특수용접 실무,(재)한국직업능력교육원(구.열린직업전문학교),107,6090000,30,80.4,35,경기,시흥시
6,"특수용접양성(전기용접,TIG용접,CO2용접)",(재)중앙노동경제연구원중앙직업전문학교,100,5075000,20,76.2,42,경기,용인시
7,알곤(티그)용접 취업과정,한빛용접학원,24,1118360,10,,42,경기,고양시
8,특수용접,영진직업전문학교,79,3987500,25,71.7,36,대구,동구
9,특수용접 실무자 중급(가스텅스텐아크용접/CO2용접) 양성,(주)화성직업전문학교,100,5075000,25,84.6,43,경기,화성시
10,특수용접기능사 실기,이탱크교육(주),30,1450000,20,,38,경기,성남시
11,특수용접(TIG+CO2)양성,부천특수용접학원,40,1740000,10,,37,경기,부천시
12,"특수용접원 양성과정(CO2, TIG, Arc)",경북산업직업전문학교,93,3987500,25,72.7,39,대구,동구
13,특수용접사(가스텅스텐아크용접+CO2용접)양성과정,한국산업직업전문학교(구.한국용접직업전문학교),125,7250000,20,83.6,34,부산,사상구
14,TIG 파이프용접 실무,울산용접직업전문학교,63,3625000,20,69.3,39,울산,중구
15,"파이프용접실무(Tig, CO2)",서울현대직업전문학교 디지털구로캠퍼스,75,3806250,20,,33,서울,구로구
16,특수용접 신규 구직자 양성과정,영진직업전문학교,95,5510000,20,69.6,34,경남,김해시
17,특수용접,재단법인 이찬 경북직업전문학교,89,3987500,24,76.7,29,경북,포항시
18,알곤파이프용접 전문가양성과정,안산특수용접전문학원,19,1202000,20,57.9,63,경기,안산시
19,특수용접양성과정A반,부산용접&전기직업학교,95,5510000,20,70.4,34,부산,부산진구
20,특수용접(가스텅스텐아크용접+co2용접)구직자양성과정,전북용접전문학원,69,3987500,20,80.8,44,전북,군산시
21,가스텅스텐아크용접 양성과정(TIG+CO2용접),아성직업전문학교,92,5292500,20,,40,경남,김해시
22,특수용접기능인력양성 및 용접자격증과정,동부직업전문학교,200,10150000,24,71.1,27,전남,순천시
23,특수용접기능사 취득(실기)과정,월드용접전문기술학원,80,2656960,16,49,36,대전,동구
24,가스텅스텐아크용접(TIG) 배관실무 기초 구직자 양성 과정,라인용접학원,30,1740000,20,53.8,33,경기,평택시
25,특수용접 양성과정,(재)건설기술교육원,100,5075000,30,58.7,37,인천,남동구
26,특수용접/피복아크용접 실무-맞대기용접,월드용접전문기술학원,35,1351420,12,,45,충남,천안시
27,용접기능사(실기),수도용접냉동기술학원,52,1131000,20,60.7,40,서울,동대문구
28,특수용접사(가스텅스텐아크용접+CO2용접)양성과정,한국산업직업전문학교(구.한국용접직업전문학교),125,7250000,20,83.6,39,부산,사상구
29,특수용접 중급 기술자(가스텅스텐아크용접/CO2용접)양성,(주)화성직업전문학교,100,5075000,20,84.6,41,경기,화성시
30,특수용접[TIG(알곤)용접+CO2용접+피복아크용접]구직자양성과정,한국전산직업전문학교(주),100,4930000,26,77.4,36,충북,청주시
31,용접기능사 자격증 실기(맞대기),월드용접전문기술학원,24,695020,12,,44,충남,천안시
32,파이프용접 양성,전주용접기술학원,68,3915000,20,,39,전북,전주시
33,특수용접/피복아크용접 실무-비드쌓기,월드용접전문기술학원,35,1351420,12,,38,충남,천안시
34,특수용접 실무,(재)한국직업능력교육원(구.열린직업전문학교),107,6090000,30,80.4,33,경기,시흥시
35,파이프용접(가스텅스텐아크용접+CO2용접) 양성과정,삼성용접직업전문학교,109,5220000,18,75,36,,
36,"특수용접(TIG,CO2,피복아크용접) 실무양성과정",탑직업전문학교,109,5510000,20,59.3,29,전남,광양시
37,특수용접 인력양성 및 자격증 취득과정,DM용접기술학원,85,4640000,18,,40,인천,부평구
38,[과정평가형]용접기사 자격 취득 과정(A),이탱크교육(주),112,7137620,20,59,34,경기,성남시
39,파이프용접 RT양성과정,안산특수용접전문학원,30,1840000,20,57.9,49,경기,안산시
40,특수용접기능사(자격증반),월드용접전문기술학원,60,1740000,14,59,40,서울,영등포구
