,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,59400,500,,,서울,구로구
1,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,38,서울,구로구
2,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
3,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
4,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,31,서울,구로구
5,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,34,서울,구로구
6,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,63,서울,구로구
7,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
8,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,41,서울,구로구
9,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
10,바이오의약품 전문인력양성 품질관리,재단법인오송첨단의료산업진흥재단,15,1040000,20,,23,충북,청주시
11,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,53,서울,구로구
12,NCS기반 화장품제조 전문가 양성과정,사단법인 충남산학융합원,58,3334083,30,,20,충남,당진시
13,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,54,서울,구로구
14,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
15,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,55,서울,구로구
16,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,45,서울,구로구
17,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
18,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
19,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,45,서울,구로구
20,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,51,서울,구로구
21,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,,서울,구로구
22,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,55,서울,구로구
23,[주경야독] 취업으로 통하는 가스기능사(필기),한국이러닝협회,28,65340,500,,46,서울,구로구
