,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,전기내선공사 구직자 양성 및 자격증취득(전기기능사),(주)미래인재개발원,102,4648370,24,,37,대구,중구
1,전기기능사자격증 취득과정,한국직업능력교육원(구.열린드림기술교육원),100,4582900,24,76.9,37,경기,군포시
2,전기기능사 취득 및 내선공사 과정,수도직업전문학교,60,2749740,20,50,32,서울,영등포구
3,전기기능사 취득(필기),대전전기학원,30,589230,20,60,32,대전,중구
4,전기(산업)기사 취득(필기)과정,라이센스전기기술학원,36,1350000,28,42.9,42,전북,전주시
5,전기기능사취득(필기+실기),빛고을전기학원,47,1309400,20,34,37,광주,서구
6,전기시스템,한국산업연수원충북직업전문학교(주),185,9165800,30,87.3,28,충북,청주시
7,전기 내선공사 전기기능사 과정,인천대산전기직업학교,84,3849630,25,59.5,38,인천,부평구
8,전기기능사자격증취득(필기),청주한국전기학원,20,537960,22,50,48,충북,청주시
9,"전기기사/전기산업기사 취득과정(필기,실기)",서울공과전기학원,54,2095040,24,62.2,43,서울,영등포구
10,전기내선공사 및 전기기능사,주식회사분당이탱크,109,4255550,20,67.9,38,경기,성남시
11,[합격완벽대비반] 전기기사 필기 과정,한국이러닝협회,56,600400,500,48.4,51,서울,구로구
12,"[렛유인] 반도체 직무별 취업완성 - 공정, 설비 종합과정",한국이러닝협회,56,467700,500,52.9,24,서울,구로구
13,[원패스] 전기공사 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,103300,500,60,,서울,강남구
14,[원패스] 전기 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,84400,500,60,,서울,강남구
15,[렛유인] 반도체 전공별 취업완성 - 기계공학과,한국이러닝협회,56,419800,500,52.9,24,서울,구로구
16,[렛유인] 반도체 핵심 8대 공정 - 종합,한국이러닝협회,56,300300,500,52.9,,서울,구로구
17,[탑강] 전기자기학,한국이러닝협회,28,174700,500,48.4,,서울,구로구
18,[탑강] 회로이론,한국이러닝협회,28,174700,500,48.4,,서울,구로구
19,[합격완벽대비반] 전기기능사 필기 과정,한국이러닝협회,28,286000,500,48,53,서울,구로구
20,한번에 준비하여 합격하자! 전기기사(필기),한국이러닝협회,56,270000,500,48.4,41,서울,구로구
21,"[렛유인] 반도체 직무별 취업완성 - 소자, 설계 종합과정",한국이러닝협회,56,376500,500,52.9,25,서울,구로구
22,"[렛유인] 자동화 산업 공정과정 (인버터,PLC)",한국이러닝협회,28,60700,500,,33,서울,구로구
23,[올배움] 전자기사 필기 합격대비 과정,한국이러닝협회,28,215600,500,,,서울,구로구
24,[탑강] 전자산업기사 필기,한국이러닝협회,56,426800,500,,,서울,구로구
25,"[렛유인] 디스플레이 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,28,208600,500,42.4,,서울,구로구
26,[원패스] 전기공사기사 필기,사단법인 한국에듀테크산업협회,56,440100,500,60,,서울,강남구
27,"[렛유인] 반도체 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,56,550800,500,52.9,23,서울,구로구
28,[탑강] 전자기기기능사 필기,한국이러닝협회,28,124200,500,,,서울,구로구
29,[합격완벽대비반] 전기기사 실기 과정,한국이러닝협회,28,265100,500,48.4,28,서울,구로구
30,[원패스] 전기기사 필기,사단법인 한국에듀테크산업협회,56,445500,500,60,33,서울,강남구
31,전기기능사취득필기반,부산전기학원,20,523760,30,64.3,50,경남,창원시
32,전기기능사 취득 과정,수도직업전문학교,44,1333710,20,59.1,52,서울,영등포구
33,실업자 과정 전기공사 실무교육,디에스전기계장전문학원,20,916580,25,,46,울산,동구
34,전기기능사취득(필기),베스트전기학원,18,589230,30,42.5,31,부산,부산진구
35,전기(산업)기사 취득 과정,수도직업전문학교,76,2032320,20,59.1,38,서울,영등포구
36,전기공사실무,대한상공회의소 충남인력개발원,125,5695890,30,89.7,32,충남,공주시
37,전기공사 기술인력 양성과정,(주)대원전기교육원,176,9165800,30,64.7,23,충북,증평군
38,전기(산업)기사자격증이론종합반,부산전기학원,34,1210410,30,,,경남,창원시
39,내선공사 및 전기기능사취득 입문과정,대산전기직업전문학교,70,3227670,20,83.9,40,경기,고양시
40,"전기기능사 취득과정(필기,실기)",서울공과전기학원,65,1309400,24,62.2,31,서울,영등포구
41,스마트 전기시공,(주)동성직업전문학교,175,9165800,30,80.4,38,경기,수원시
42,전기공사실무,부산용접&전기직업학교,90,4648370,25,58.5,43,부산,부산진구
