,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,스마트그리드기반 IoT융합SW전문가과정(NCS),스마트미디어인재개발원,93,8718680,26,86.4,27,광주,남구
1,[NCS] UI/UX 스마트 콘텐츠 융합 응용 SW 엔지니어링 양성과정,KH정보교육원 강남지원,120,4743360,30,83.6,24,서울,강남구
2,머신러닝을 위한 파이썬(Python) 프로그래밍,아이티윌 부산교육센터,10,450840,25,36.4,26,부산,부산진구
3,보안전문가(SW개발) 양성과정,효성정보직업전문학교,120,5533920,20,72.4,24,부산,부산진구
4,어트랙션 기반 실감형 콘텐츠 개발,한국전파진흥협회,113,11916060,22,,30,서울,양천구
5,4차 산업혁명 선도 블록체인 전문인력 양성프로그램,아주대학교,60,5064000,20,,,경기,수원시
6,데이터사이언스를 위한 빅데이터플랫폼 구축 및 분석전문가 양성과정,한국소프트웨어인재개발원,140,8202880,30,92.5,25,서울,금천구
7,스마트 리빙케어 클라우드기반 인공지능기술 전문인력 양성프로그램,아주대학교,68,6464890,20,,27,경기,수원시
8,제3통합전산센터 클라우드 정보시스템 구축 및 유지보수(정보처리기능사),한국IT교육원,107,5270400,20,53.3,25,대구,동구
9,스크래치로 배우는 COS 2급(코딩활용능력평가),사단법인 한국에듀테크산업협회,28,56700,500,27.8,,서울,강남구
10,"앱(App)의 새로운 바람, 타이젠(Tizen) 프로그래밍",사단법인 한국에듀테크산업협회,28,56700,500,27.8,,서울,강남구
11,SW(코딩) 교강사 양성과정,(사)한국디지털컨버전스협회,56,202500,500,30,42,서울,영등포구
12,"미래를 여는 힘, IoT & Windows10",사단법인 한국에듀테크산업협회,28,56700,500,,,서울,강남구
13,정보보호 기반 정보시스템 진단 및 관리 엔지니어 양성 과정,KH정보교육원 종로지원,105,5522160,30,,24,서울,중구
14,경영빅데이터분석사 2급 자격 취득하기,사단법인 한국에듀테크산업협회,28,64800,500,,57,서울,강남구
15,스마트한 세상! IoT & 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,83700,500,,,서울,강남구
16,미래의 예측! 빅데이터와 사물인터넷(IoT),사단법인 한국에듀테크산업협회,28,62100,500,27.8,,서울,강남구
17,스마트한 세상 ! 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,56700,500,,,서울,강남구
18,[렛유인] 취업의 핵심 - 4차 산업 혁명,한국이러닝협회,56,345100,500,,,서울,구로구
19,COS PRO 2급 파이썬(전문코딩능력평가),사단법인 한국에듀테크산업협회,28,78300,500,27.8,,서울,강남구
20,응용소프트웨어를 활용한 빅데이터 분석,코리아아이티신촌학원,32,1391560,22,,26,서울,마포구
21,자바스크립트(JavaScript) 프로그래밍,(사)한국디지털컨버전스협회,28,110700,500,30,21,서울,영등포구
22,자바(JAVA) 웹&앱 개발자,이젠아이티(IT)아카데미학원,87,4038440,30,82.5,26,서울,서초구
23,자바 기반 융합형 SW개발자 양성과정,쌍용강북교육센터,130,6851520,22,74.4,24,서울,마포구
24,모던 웹개발을 위한 응용SW엔지니어링 양성과정,중앙에이치티에이㈜,125,6588000,30,77.8,25,서울,종로구
25,스마트콘텐츠 개발자 양성과정,대우직업능력개발원,110,5797440,21,80.2,26,서울,노원구
26,스프링프레임워크 기반의 자바(JAVA)웹 개발자 양성과정,에이콘아카데미(강남),110,5797440,30,59.6,26,서울,강남구
27,웹크롤링을 활용한 자바(Java)프레임워크개발,(재)부산인재개발원 부산IT교육센터,133,6258600,25,64.8,25,부산,부산진구
28,파이썬빅데이터분석 머신러닝활용,주식회사 이젠컴퓨터아카데미,109,5731560,20,73.5,28,서울,노원구
29,웹 및 모바일 스마트융합 응용SW엔지니어 양성과정,한국소프트웨어인재개발원,125,6588000,30,84.4,26,서울,금천구
30,머신러닝 활용 JAVA 웹 응용 SW 엔지니어 양성과정,넥스트아이티교육센터학원,120,6324480,25,95.5,27,대전,중구
31,파이썬과 R을 활용한 빅데이터 분석전문가 양성과정,아이티윌,86,3786500,30,63.2,26,서울,강남구
32,모의해킹 기반 정보보호 엔지니어 양성 과정,KH정보교육원 강남지원,93,4891050,23,79.5,24,서울,강남구
33,자바(JAVA) 웹개발자 양성과정,강남 그린컴퓨터아카데미,100,5270400,20,68.6,25,서울,강남구
34,Unity3D엔진을 활용한 VR/AR 실감형 콘텐츠 개발 과정,부산대학교산학협력단,120,13482240,20,,26,부산,금정구
35,스마트웹앱 융합 인재 양성,코리아IT아카데미,92,4809240,35,73.2,25,서울,강남구
36,"디지털컨버전스 기반 BackEnd중심, Framework개발자 양성과정",비트교육센터별관학원,112,5902840,30,73.8,26,서울,서초구
37,클라우드 기반의 자바응용 및 빅데이터분석 개발자 양성과정(A),케이아이씨캠퍼스학원,110,5797440,30,65.4,24,서울,강남구
38,인공지능기반 응용SW엔지니어링 실무과정,(재)대덕인재개발원,158,8327230,25,89.7,24,대전,중구
39,전자정부 프레임워크 자바(JAVA) 개발자 양성,아이티윌 부산교육센터,120,6324480,30,62.9,27,부산,부산진구
40,자바 기반 디지털 컨버젼스 개발자 양성과정,그린컴퓨터아카데미 부산,104,5270400,30,70.9,26,부산,남구
41,ICT 보안 구축 및 보안 운영자 양성,코리아IT아카데미,89,4654390,21,78.6,24,서울,강남구
42,[NCS]UIUX엔지니어링 및 응용SW엔지니어링 양성과정,KH정보교육원 강남지원,160,6324480,23,83.6,24,서울,강남구
43,C언어&파이썬&자바기반 디지털컨버전스 A,더조은아카데미,111,5797440,25,70.6,24,서울,강서구
44,미래의 예측! 빅데이터와 사물인터넷(IoT),사단법인 한국에듀테크산업협회,28,68310,500,27.8,,서울,강남구
45,스마트한 세상 ! 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,62370,500,,,서울,강남구
46,스크래치로 배우는 COS 2급(코딩활용능력평가),사단법인 한국에듀테크산업협회,28,62370,500,27.8,,서울,강남구
47,SW(코딩) 교강사 양성과정,(사)한국디지털컨버전스협회,56,222750,500,30,,서울,영등포구
48,"미래를 여는 힘, IoT & Windows10",사단법인 한국에듀테크산업협회,28,62370,500,,49,서울,강남구
49,[렛유인] 취업의 핵심 - 4차 산업 혁명,한국이러닝협회,56,376690,500,,37,서울,구로구
50,경영빅데이터분석사 2급 자격 취득하기,사단법인 한국에듀테크산업협회,28,71280,500,,49,서울,강남구
51,자바스크립트(JavaScript) 프로그래밍,(사)한국디지털컨버전스협회,28,121770,500,30,40,서울,영등포구
52,스마트한 세상! IoT & 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,92070,500,,,서울,강남구
53,COS PRO 2급 파이썬(전문코딩능력평가),사단법인 한국에듀테크산업협회,28,86130,500,27.8,24,서울,강남구
54,"앱(App)의 새로운 바람, 타이젠(Tizen) 프로그래밍",사단법인 한국에듀테크산업협회,28,62370,500,27.8,,서울,강남구
55,디지털컨버전스 기반 Framework 전문 개발자 양성과정,비트캠프 신촌센터,112,5902840,30,78.5,25,서울,마포구
56,자바(JAVA) 안드로이드 웹 & 앱 개발자,이젠아카데미평생교육원,123,5929200,20,83.3,27,서울,종로구
57,JAVA를 활용한 웹 콘텐츠 개발자 양성과정,쌍용강북교육센터,111,5797440,20,74.4,24,서울,마포구
