,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,제과제빵기능사 자격취득과정 (이론+실기),이화푸드조리제빵학원,51,1386580,16,49.1,36,대전,서구
1,천연효모 발효빵,신사제과제빵학원,15,509770,10,23.9,35,서울,강남구
2,"쁘띠디저트(마카롱,에클레어,슈,타르트,쿠키)",티니케익아트학원,25,829700,15,37.5,32,서울,성동구
3,"케이크디자이너양성과정(레터링,캐릭터,입체.슈가)",티니케익아트학원,25,799700,15,37.5,35,서울,성동구
4,"플라워케이크기초(크림플라워,앙금플라워떡케이크)",티니케익아트학원,25,799700,15,37.5,36,서울,성동구
5,제빵&제과기능사 자격증 취득,궁전요리제빵미용직업전문학교,63,1665260,18,60.7,28,전북,전주시
6,제과+제빵기능사 자격증 취득과정(이론+실기),한국조리사관직업전문학교,25,1359400,30,42.1,28,서울,금천구
7,제과제빵기능사(실기)&실용 케익,신사제과제빵학원,52,1631280,16,23.9,34,서울,강남구
8,제과자격증 취득과정,통영제과제빵커피전문학원,40,815640,16,,37,경남,통영시
9,제빵 기능사 자격증 취득과정 (필기+실기),"한쿡외식문화학원(요리,제과제빵,바리스타,조리)",38,897200,18,64.3,36,경기,용인시
10,"케이크데코레이션과 디저트실무(버터플라워,앙금플라워 포함)",경기외식직업전문학교,45,1223460,15,51.4,38,경기,수원시
11,제과 기능사 자격증 취득과정 (필기+실기),"한쿡외식문화학원(요리,제과제빵,바리스타,조리)",35,815640,18,64.3,33,경기,용인시
12,(실기) 제과기능사 자격취득,뉴영남요리제과제빵아카데미,30,611730,9,25,34,경남,진주시
13,제빵기능사 자격증 취득과정(실기),다옴직업전문학교,30,1019550,24,81.8,38,대구,서구
14,"플라워케이크심화(크림플라워,앙금플라워떡케이크)",티니케익아트학원,25,929700,15,37.5,,서울,성동구
15,"쁘띠디저트(마카롱,에클레어,슈,타르트,쿠키)",티니케익아트학원,25,829700,15,37.5,37,서울,성동구
16,제빵기능사 제과기능사 자격증 취득(이론+실기),뉴브레인직업전문학교,26,1039940,12,,37,서울,구로구
17,제과제빵기능사 실기 및 케익데코 디저트 과정,서울호텔제과제빵요리직업전문학교,55,1536120,20,50.7,30,서울,광진구
18,제과제빵기능사 취득과정,에프비아이제과제빵커피학원,52,1406970,20,35.3,39,경기,고양시
19,케이크와 디저트 실무,효성직업능력개발원,26,706880,20,,32,대구,달서구
20,제빵기능사 자격증 취득과정(필기+실기),성남외식조리직업전문학교,27,734070,18,34.1,35,경기,성남시
21,제과제빵기능사기초과정,월드호텔외식직업전문학교(병점),28,1121500,15,94.7,31,경기,화성시
22,제과제빵 현장실무(제빵기능사+제과기능사),간석외식직업전문학교,55,1495340,20,38.5,29,인천,남동구
23,제과제빵기능사이론실기취득과정,월드호텔요리제과커피학원,26,1039940,15,93.3,35,경기,수원시
24,제빵기능사 자격증 (이론+실기) 취득과정,(주)상록호텔조리직업전문학교,32,856420,28,60.5,33,인천,계양구
25,"플라워케이크마스터 자격증취득 및 양성과정(기초, 심화, 오브제)",라크렘제과실용전문학교,41,1695060,16,20.8,38,서울,성동구
26,"제과제빵기능사취득(이론,실기)",광산음식나라조리학원,60,1427370,10,40,34,광주,광산구
27,제과제빵기능사 및 케이크디자이너2급 취득과정,대전음식나라조리제과제빵학원,53,1427370,16,36.7,30,대전,중구
28,제과제빵기초실무과정,진영요리제빵학원,67,1359400,8,,38,경남,김해시
29,제과&제빵자격증취득및 취업과정,한국외식제과직업전문학교,55,1495340,18,44.9,33,대구,중구
30,베이커리 디저트 실무과정,한솔요리아카데미 강동,15,661730,14,47.9,48,서울,강동구
31,제과제빵자격증 케익플라워,현대제과제빵요리전문학원,51,1740030,18,38.8,38,울산,남구
32,제과제빵이론과 실기자격증,경기외식직업전문학교,60,1631280,15,51.4,34,경기,수원시
33,제과제빵기능사 및 떡제조기능사 취득(이론/실기),전주요리제과제빵학원,62,1672060,18,63.9,41,전북,전주시
34,제과제빵기능사 취득과정(이론&실기),한선생직업전문학교,53,1080720,10,42.9,40,경기,수원시
35,제과제빵 자격증과 케이크데코,종로호텔제과직업전문학교,60,1631280,20,48.3,36,서울,종로구
36,케익&제과카페디저트실무,봄뜰제과제빵학원,50,1359400,10,50,38,부산,사하구
37,천연 발효종을 활용한 제빵실무,한국제과직업전문학교,50,1359400,20,46.2,38,서울,영등포구
38,제빵 자격증 취득과정,통영제과제빵커피전문학원,36,978760,16,,40,경남,통영시
39,"제과,제빵 자격증 취득과정(이론+실기)",원선나라요리제과제빵학원,48,1631280,10,,30,경남,김해시
40,"제과제빵자격증과정(이론,실기)",은성제과제빵커피학원,55,1495340,12,42.9,43,경남,김해시
41,제과제빵기능사자격증 실기,동아제과제빵기술학원,37,1027820,15,43.8,26,서울,영등포구
42,제과디저트 및 커피음료 실무과정,둔산음식나라조리제과커피학원,38,990000,11,47.7,36,대전,서구
43,제과제빵기능사취득,(주)한국외식조리직업전문학교,80,1631280,26,56.1,30,인천,부평구
44,제과제빵기능사자격증실기,동아제과제빵기술학원,34,1027820,15,43.8,40,서울,영등포구
45,제과&제빵기능사(필기+실기) 자격취득,광주국제직업전문학교,48,1631280,12,39.1,32,광주,북구
46,제과제빵기능사 자격증 취득과정(이론+실기),김상엽제과제빵학원,53,1440960,10,31.3,32,서울,도봉구
