,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,귀금속 공예 과정,GIK보석·디자인전문직업학교,28,1484280,15,90,,부산,부산진구
1,보석디자인 양성,(주)엠제이씨보석직업전문학교(MJC보석직업전문학교),142,8250520,20,92.8,26,서울,종로구
2,"편집디자인(포토샵,일러스트)과정",그린컴퓨터아카데미 수원,34,817440,20,36.4,29,경기,수원시
3,화훼장식기능사 국가자격증 실기대비반,조경숙플로리스트학원,26,733330,15,,35,충북,청주시
4,화훼장식기능사 자격증 취득 실기 실전대비,피움예술학원,10,478260,17,,42,경북,문경시
5,플라워샵 취업 및 창업과정,한국평생교육원,20,956520,13,27.5,32,부산,사상구
6,"플로리스트 양성 과정(절화, 분화, 가공화, 기능사 자격증 실기)",혜인즈블라썸플로리스트화훼학원,36,1992750,12,25.4,26,서울,강남구
7,보석실무&주얼리3D모델링,GIK보석·디자인전문직업학교,85,1992060,10,90,29,부산,부산진구
8,프리저브드와 드라이플라워 스타일링 제작 과정반,은선꽃예술학원,34,956520,12,46.2,42,대전,유성구
9,주얼리 캐드 기초 양성과정,윤쥬얼리학원,32,859040,9,40.6,29,서울,서초구
10,꽃다발 꽃바구니 전문가 양성,이현꽃예술학원,14,496370,10,18.2,33,경기,군포시
11,전자출판디자인(편집&디지털퍼블리싱)전문가 양성,(주)한국마이스터,111,5281920,15,66.7,24,전북,전주시
12,파티웨딩플라워 디자인과정,그래머시플라워학원,13,828980,20,37.3,38,경기,수원시
13,섬유공예 가방제작 전문과정,휴평생직업교육학원,40,956520,15,91.7,41,경남,거제시
14,"편집실무디자인(일러스트, 포토샵, 인디자인, 포트폴리오)취업과정",그린컴퓨터아트학원,104,4401600,20,58.3,24,대구,중구
15,화훼장식기능사 취득,미소꽃예술학원,20,956520,16,34,36,서울,서초구
16,"전자출판편집디자인(일러스트,포토샵,인디자인)",이젠아카데미평생교육원,88,4401600,20,84.8,26,서울,서초구
17,프리저브드 전문가양성,이현꽃예술학원,14,496370,10,18.2,34,경기,군포시
18,편집디자인(시각디자인)양성과정,그린컴퓨터아카데미 신촌,109,5030400,20,71.4,27,서울,마포구
19,"웹퍼블리싱 Ebook출판,편집디자인",부산나래디자인학원,80,4024320,20,100,24,부산,중구
20,화훼장식기능사 종합반(이론+실기),당신의정원꽃예술학원,34,956520,12,,32,경남,창원시
21,화훼장식기능사,안단테꽃예술직업학교,17,897100,22,35.2,28,서울,강남구
22,웨딩&파티 플라워연출기획,안단테꽃예술직업학교,15,717390,22,35.2,32,서울,강남구
23,포토샵을 활용한 상세페이지디자인 및 쇼핑몰제작,인천구월그린컴퓨터아트학원,34,1257600,20,48.8,,인천,남동구
24,"인쇄출판편집디자인(포토샵, 일러스트, 인디자인, e-book)",하이컴퓨터그래픽전산회계학원,90,4527360,22,,27,경기,안산시
25,"플로리스트 양성과정(플라워 기본상품,이벤트상품)",미소꽃예술학원,20,637680,16,34,37,서울,서초구
26,"편집디자인(포토샵,일러스트)입문과정",강남 그린컴퓨터아카데미,32,1006080,20,45.1,29,서울,강남구
27,"편집디자인실무(포토샵,일러스트,인디자인)",주식회사 이젠컴퓨터아카데미,48,1509120,20,,25,서울,노원구
28,전자출판 편집디자인 양성과정,한양직업전문학교,103,4527360,25,46.2,34,전남,목포시
29,화훼장식기능사 국가자격증 (실기),오면꽃예술학원,12,637680,13,32.9,33,서울,마포구
30,"편집디자인(포토샵,일러스트,인디자인,GTQ자격,전자출판)",(주)허브컴퓨터회계아트학원,40,1006080,14,,33,서울,동대문구
31,"편집디자인(포토샵, 일러스터, 인디자인, e-book) 양성",미래컴퓨터학원,72,3144000,20,83.3,26,부산,사상구
32,화훼장식기능사 취득(실기),그래머시플라워학원,10,697680,20,37.3,31,경기,수원시
33,플라워샵 상품제작 양성과정,오면꽃예술학원,12,669560,12,32.9,37,서울,마포구
