,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
0,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29.0,서울,서초구,05_법률경찰소방교도국방,법률취업
1,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,31.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
2,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,302400,500,26.7,46.0,서울,강남구,05_법률경찰소방교도국방,법률사무
3,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,31.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
4,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,49.0,광주,서구,05_법률경찰소방교도국방,소방설비
5,소방설비(산업)기사전기필기,중앙소방안전학원,26,484300,60,57.1,43.0,광주,서구,05_법률경찰소방교도국방,소방설비
6,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29.0,서울,강남구,05_법률경찰소방교도국방,법률사무
7,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31.0,서울,서초구,05_법률경찰소방교도국방,법률사무
8,행정법률사무원 실무양성과정,국민법률세무교육원,21,936320,30,61.8,29.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
9,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,서울,서초구,05_법률경찰소방교도국방,법률취업
10,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33.0,서울,강남구,05_법률경찰소방교도국방,법률사무
11,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,30.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
12,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,31.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
13,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,46.0,서울,강남구,05_법률경찰소방교도국방,법률사무
14,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39.0,경남,창원시,05_법률경찰소방교도국방,법률사무
15,(과정평가형)위험물산업기사_2020,모아소방전기학원,86,4004400,23,64.3,44.0,서울,영등포구,05_법률경찰소방교도국방,
16,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
17,소방설비기사/산업기사 필기 자격취득반[전기분야-이론],대영소방전문학원,15,465670,31,58.3,44.0,부산,북구,05_법률경찰소방교도국방,소방설비
18,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,28.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
19,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
20,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33.0,서울,강남구,05_법률경찰소방교도국방,법률사무
