,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
0,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,42,1161380,20,93.8,36.0,인천,부평구,03_금융보험,보험사무원
1,보험총무사무원,부천여성인력개발센터,40,1106080,20,64.3,34.0,경기,부천시,03_금융보험,보험사무원
2,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,31.0,인천,부평구,03_금융보험,보험사무원
3,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,36.0,서울,은평구,03_금융보험,보험사무원
4,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,35.0,인천,부평구,03_금융보험,보험사무원
5,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,34.0,인천,부평구,03_금융보험,보험사무원
6,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
7,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,45.0,서울,구로구,03_금융보험,자산관리사
8,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,36.0,서울,구로구,03_금융보험,자산관리사
9,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,35.0,서울,구로구,03_금융보험,자산관리사
10,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,33.0,인천,부평구,03_금융보험,보험사무원
11,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,39.0,서울,은평구,03_금융보험,보험사무원
12,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,서울,구로구,03_금융보험,자산관리사
13,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,서울,구로구,03_금융보험,자산관리사
14,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,29.0,서울,구로구,03_금융보험,자산관리사
15,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,37.0,인천,부평구,03_금융보험,보험사무원
16,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,서울,구로구,03_금융보험,자산관리사
17,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,35.0,서울,구로구,03_금융보험,자산관리사
18,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,30.0,인천,부평구,03_금융보험,보험사무원
19,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
20,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
21,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,서울,구로구,03_금융보험,자산관리사
22,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,,서울,은평구,03_금융보험,보험사무원
23,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,383800,500,26.0,51.0,서울,구로구,04_교육자연사회과학,한국어교원
24,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,286200,500,26.0,,서울,구로구,04_교육자연사회과학,한국어교원
25,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,391500,500,26.0,53.0,서울,구로구,04_교육자연사회과학,한국어교원
26,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,서울,구로구,04_교육자연사회과학,한국어교원
27,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,,서울,구로구,04_교육자연사회과학,한국어교원
28,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,,서울,구로구,04_교육자연사회과학,한국어교원
29,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,,서울,구로구,04_교육자연사회과학,한국어교원
30,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,52.0,서울,구로구,04_교육자연사회과학,한국어교원
31,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,41.0,서울,구로구,04_교육자연사회과학,한국어교원
32,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,44.0,서울,구로구,04_교육자연사회과학,한국어교원
33,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,38.0,서울,구로구,04_교육자연사회과학,한국어교원
34,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,31.0,서울,구로구,04_교육자연사회과학,한국어교원
35,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,34.0,서울,구로구,04_교육자연사회과학,한국어교원
36,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,41.0,서울,구로구,04_교육자연사회과학,한국어교원
37,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,45.0,서울,구로구,04_교육자연사회과학,한국어교원
38,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,61.0,서울,구로구,04_교육자연사회과학,한국어교원
39,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,41.0,서울,구로구,04_교육자연사회과학,한국어교원
40,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,35.0,서울,구로구,04_교육자연사회과학,한국어교원
41,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,55.0,서울,구로구,04_교육자연사회과학,한국어교원
42,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,49.0,서울,구로구,04_교육자연사회과학,한국어교원
43,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,35.0,서울,구로구,04_교육자연사회과학,한국어교원
44,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46.0,서울,은평구,04_교육자연사회과학,한국어교원
45,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,40.0,서울,구로구,04_교육자연사회과학,한국어교원
46,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,50.0,서울,구로구,04_교육자연사회과학,한국어교원
47,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46.0,서울,은평구,04_교육자연사회과학,한국어교원
48,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,39.0,서울,구로구,04_교육자연사회과학,한국어교원
49,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,38.0,서울,구로구,04_교육자연사회과학,한국어교원
50,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,서울,구로구,04_교육자연사회과학,한국어교원
51,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,37.0,서울,구로구,04_교육자연사회과학,한국어교원
52,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,49.0,서울,구로구,04_교육자연사회과학,한국어교원
53,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,42.0,서울,구로구,04_교육자연사회과학,한국어교원
54,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,48.0,서울,은평구,04_교육자연사회과학,한국어교원
55,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,40.0,서울,구로구,04_교육자연사회과학,한국어교원
56,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,35.0,서울,구로구,04_교육자연사회과학,한국어교원
57,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,39.0,서울,구로구,04_교육자연사회과학,한국어교원
