,과정명,학원명,기간,훈련비,정원,취업률,연령대
0,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,391500,500,26,53
1,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,286200,500,26,
2,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,383800,500,26,51
3,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,46
4,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,
5,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,
6,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,41
7,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,52
8,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,
9,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,41
10,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,31
11,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,38
12,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,44
13,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,45
14,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,34
15,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26,41
16,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,44
17,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,61
18,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,41
19,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,55
20,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,35
21,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,49
22,한국어교원3급 자격취득 양성과정,사단법인 한국에듀테크산업협회,56,314820,500,,
23,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,35
24,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46
25,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,19,925050,11,,52
26,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,50
27,한국어교원3급 자격취득 양성과정,사단법인 한국에듀테크산업협회,56,314820,500,,
28,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,40
29,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46
30,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,39
31,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,38
32,청년취업아카데미 창직과정,한국생산성본부,29,3204000,300,,21
33,신직업메이킹랩,한국생산성본부,41,6133500,100,,23
34,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,46
35,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,37
36,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,43
37,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,49
38,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,42
39,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,48
40,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,40
41,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,35
42,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,39
43,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,49
44,한국어교원3급 자격증취득(한국어교원양성),아바평생교육원,30,925050,11,,37
45,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,42
46,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26,46
47,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26,40
48,한국어교원 자격증 대비반 (문제풀이),은평여성인력개발센터,15,370020,20,21.7,50
49,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,38
50,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,46
51,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,38
52,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,34
53,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,59
54,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,36
55,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,41
56,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,35
57,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
58,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,48
59,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),17,832540,11,,39
60,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),27,832540,11,,45
61,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
