,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,전산회계1급&전산세무2급 자격증 취득과정,더조은아카데미,32,1245450,20,53,28,광주,서구
1,ITQ Master/컴퓨터활용능력 2급(필기+실기) 자격증,등용문직업전문학교,38,899250,24,47.8,33,전북,전주시
2,"사무자동화실무(ITQ한글, 엑셀, 파워포인트 취득)",CM세무전기직업전문학교,20,479600,20,51.2,29,충남,천안시
3,"전산회계2급 자격증 취득& 사무행정 ITQ(한글, 파워포인트, 엑셀)취득",대구컴퓨터캐드회계학원,47,1376550,10,,,대구,북구
4,컴퓨터활용능력2급 자격증 취득,양정인력개발센터,20,479600,15,58,30,부산,부산진구
5,사무실무취업과정,동양직업전문학교,20,479600,20,59.3,41,충남,천안시
6,회계·세무정보처리(FAT 1·2급+TAT 2급) 취득,등용문아카데미회계컴퓨터아트학원,65,1704300,21,58.3,32,전북,전주시
7,공동주택회계실무양성과정,한국아파트경리전문학원,18,707940,20,64.4,40,인천,부평구
8,경리실무과정,동양직업전문학교,40,1376550,20,68.8,28,충남,천안시
9,"ITQ(한글,파워포인트,엑셀),컴퓨터활용능력2급(필기,실기)취득",이젠컴퓨터아트서비스학원,35,839300,20,49.4,25,전북,전주시
10,"컴퓨터활용능력 2급(필기,실기)",대연컴퓨터학원,26,539550,12,42.6,36,부산,남구
11,ITQ Master/컴퓨터활용능력 2급(필기+실기) 취득,등용문아카데미회계컴퓨터아트학원,40,959200,20,53.9,33,전북,전주시
12,컴퓨터활용능력자격취득(2급),동양직업전문학교,20,599500,20,59.3,32,충남,천안시
13,총무사무/ ITQ자격증 취득,탑스터디컴퓨터학원,22,628380,20,47.5,47,전북,군산시
14,컴퓨터활용능력1급 자격증 취득 과정,더조은아카데미,25,899250,20,40.1,24,광주,서구
15,컴퓨터활용능력자격취득(컴활2급+ITQ),광주IT(아이티)학원,39,719400,12,,37,광주,북구
16,전산세무실무(회계1급+세무2급+FAT1급+실무),정상컴퓨터전산회계학원,40,1311000,22,42.9,31,경기,부천시
17,"ITQ마스터(한글,엑셀,파워포인트)자격증 취득[사무자동화 OA활용]",남승화직업전문학교,25,599500,20,55,37,강원,원주시
18,컴퓨터활용능력2급자격증,거성컴퓨터학원,34,599500,10,42.7,33,전북,군산시
19,컴퓨터활용능력1급 자격증취득(필기+실기)과정,현재회계컴퓨터학원,40,959200,10,52.9,22,강원,원주시
20,XP-ERP인사관리양성과정,한국아파트회계전문학원,15,774220,20,72.7,47,경기,수원시
21,전산세무1급(법인조정및신고),현대회계경영직업전문학교,38,983250,16,59.7,28,대구,중구
22,전산회계1급+2급 및 컴퓨터활용능력2급,진주직업전문학교,60,1573200,20,54.7,26,경남,진주시
23,"ITQ(한글,엑셀,파워포인트)와컴활2급취득",정상컴퓨터전산회계학원,40,959200,20,46.1,35,경기,부천시
24,서비스강사양성과정 및 CS리더스관리사자격증취득(NCS기반),옥스비평생교육원,28,942480,16,,,서울,강남구
25,ITQ(한글+엑셀+파워포인트)자격증 취득과정,시흥여성인력개발센터,23,588280,18,51.7,46,경기,시흥시
26,ITQ Master/컴퓨터활용능력 2급(필기+실기) 자격증,등용문직업전문학교,38,899250,24,47.8,24,전북,전주시
27,사무행정_컴퓨터활용능력2급취득(이론/실기),중앙직업전문학교,25,599500,20,46.1,35,인천,남동구
28,"ITQ마스터 자격취득과정(한글,엑셀,파워포인트)",은곡직업전문학교,40,839300,18,,53,서울,노원구
29,공동주택회계ERP양성,한국아파트빌딩전문회계학원,36,707940,20,,52,서울,구로구
30,XPERP회계실무양성과정,한국아파트회계전문학원,18,707940,20,70.3,41,경기,수원시
31,"전산회계1급,전산세무2급+ERP회계 자격증취득",현대회계경영직업전문학교,57,1835400,20,59.7,26,대구,중구
32,전산회계1급 + 전산세무2급 취득,제일회계학원,36,1179900,14,60,29,경기,의정부시
33,컴퓨터활용능력2급 자격증(필기+실기),주식회사 이젠컴퓨터아카데미,18,539550,20,59.6,32,서울,노원구
