,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,40,서울,동대문구
1,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,42,서울,동대문구
2,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,345800,500,48.3,43,서울,구로구
3,가사지원양성과정,한국생활환경평생교육원,10,454580,15,,51,경기,구리시
4,청소전문가 마스터 과정,내일직업전문학원,25,649400,12,54.5,52,대전,서구
5,"일반경비지도사 자격증 취득과정 실업자 국비지원교육(1,2차시험 통합)",(재)서강직업전문학교용산캠퍼스,27,975680,30,,,서울,용산구
6,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,55,대전,서구
7,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,46,서울,구로구
8,옷수선&리폼 및 의류제작,한국일반문화센터,32,1226880,10,34.6,48,경기,평택시
9,의류수선,디엠패션학원,60,1533600,10,,48,서울,송파구
10,"일반경비지도사 자격증 취득과정 실업자 국비지원교육(1,2차시험 통합)",(재)서강직업전문학교용산캠퍼스,27,975680,30,,40,서울,용산구
11,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,48,서울,구로구
12,가사관리/정리수납 전문가 양성과정,(사)안산와이더블유씨에이,10,259760,20,,53,경기,안산시
13,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,48,서울,동대문구
14,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,56,서울,동대문구
15,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,58,서울,구로구
16,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,53,서울,구로구
17,의류수선 및 실용의복제작,한국일반문화센터,24,920160,10,34.6,46,경기,평택시
18,수선리폼실무,코디잡평생교육원,78,1980900,15,,47,,
19,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,51,서울,구로구
20,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,43,서울,동대문구
21,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,46,서울,동대문구
22,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,50,대전,서구
23,"일반경비지도사 자격증 취득과정 실업자 국비지원교육(1,2차시험 통합)",서강직업전문학교 제2캠퍼스,27,975680,20,,,서울,영등포구
24,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,57,대전,서구
