,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,실내건축(산업)기사 자격증 실기 작업형,강남동방디자인학원,30,1243550,11,53.3,27,서울,강남구
1,천장크레인운전기능사 자격취득및 실무과정(필기+실기),현대평생직업교육학원,25,1465000,20,70.1,29,충남,당진시
2,"굴삭기,지게차 운전기능사 자격증 취득과정(실기)",현대평생직업교육학원,25,1450400,15,,41,충남,당진시
3,타일기능사취득과정,타일인기술학원,20,1012800,10,,34,서울,은평구
4,인테리어목공입문 및 자격증과정,가송인테리어목공기술학원,20,1262800,30,46,42,서울,노원구
5,타워크레인 운전기능사 자격취득 과정(이론+실기),현대평생직업교육학원,25,1465000,20,70.1,,충남,당진시
6,인테리어필름입문자과정,용인인테리어기술학원,20,949500,10,44.6,64,경기,용인시
7,도배 및 인테리어 필름 시공,(재)대구직업전문학교,37,1392600,16,53.8,37,대구,북구
8,굴삭기운전기능사자격증취득(실기),대한중장비운전학원,17,652680,10,60.2,36,경기,양주시
9,"지게차운전기능사 취득(이론,실기)",(주)천안직업전문학교,27,1159110,15,65.6,39,충남,천안시
10,지게차운전 양성과정(이론+실기),그린직업전문학교주식회사,30,1502550,20,61,46,경기,광주시
11,천장크레인운전(이론+실기)-자격증취득,영남직업전문학교,30,1098750,20,52.1,26,경북,포항시
12,굴삭기.지게차운전,진명자동차정비중장비학원,40,1450400,20,78.6,34,전남,순천시
13,"굴삭기,지게차운전기능사취득과정 (이론+실기)",대한중장비운전학원,47,2175600,15,51.7,41,대전,동구
14,"굴삭기,지게차 조종사 양성과정",경북산업직업전문학교,33,1450400,25,55.4,42,대구,동구
15,굴삭기운전 지게차운전 기능사 취득,상주자동차중장비학원,42,1813000,15,33.3,42,경북,상주시
16,친환경건축 수장도배시공,새동아직업전문학교,70,2664930,20,,42,부산,사하구
17,도배시공 및 기능사취득,세민직업전문학교,17,930880,14,53.7,51,경기,수원시
18,BIM건축+실내건축인테리어(CAD+3D MAX+Revit),하이미디어컴퓨터학원,65,3403400,20,65.4,28,서울,강동구
19,건축시공,대한직업전문학교,125,4747500,20,56.6,52,전북,군산시
20,지게차+굴삭기운전 자격증취득(이론+실기),포항직업전문학교,35,1252120,20,49.3,38,경북,포항시
21,3D프린터융합 전산응용건축인테리어설계과정,3D프린팅학원,55,1439900,15,,37,대구,중구
22,굴삭기운전,김포간호&중장비학원,33,1443140,20,,36,경기,김포시
23,굴삭기운전기능사 취득,구미중장비직업전문학원,28,812220,20,,51,경북,구미시
24,"굴삭기,지게차운전기능사",군산종합중장비학원,60,1740480,18,74.6,37,전북,군산시
25,타일기능사 자격증 취득 과정,제물포타일기술학원,20,1012800,20,,44,인천,미추홀구
26,지게차운전기능사 취득반(이론+실기),(재)중앙노동경제연구원중앙직업전문학교,35,1717200,20,64.4,45,경기,용인시
27,지게차운전기능사 취득,경주직업전문학교,18,858600,15,57.1,21,경북,경주시
28,AutoCAD건축제도전문가 양성 (전산응용건축제도기능사 취득 실기),효성아트컴퓨터학원,40,1047200,11,,32,대전,서구
29,조경기능사(과정평가형) 2기,대경직업능력개발원,99,4309745,20,67.5,58,대구,동구
30,"건축설계(CAD,MAX,BIM,레빗,스케치업)",국제컴퓨터아카데미,89,4646950,20,76.7,28,서울,관악구
31,조경기술자 양성과정 및 조경기능사,중랑직업전문학교,112,5293860,26,82.1,56,서울,중랑구
32,[탑강] 실내건축기능사 필기,한국이러닝협회,28,261800,500,46.2,,서울,구로구
33,[탑강] 굴삭기운전기능사 필기,한국이러닝협회,28,211200,500,,,서울,구로구
34,[합격완벽대비반] 건축기사 필기 과정,한국이러닝협회,56,396900,500,46.2,,서울,구로구
35,[주경야독] 취업으로 통하는 조경기능사(필기),한국이러닝협회,28,102600,500,,54,서울,구로구
36,도배기능사,대림인테리어학원,20,1012800,12,,45,서울,구로구
37,조경기능사 자격취득과정(필기+실기),강원팜산업교육원,45,1221660,20,,57,강원,춘천시
38,[탑강] 실내건축기사 필기,한국이러닝협회,28,278900,500,46.2,,서울,구로구
39,[주경야독] 취업으로 통하는 전산응용건축제도기능사 필기,한국이러닝협회,28,113400,500,46.2,36,서울,구로구
