,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,입문자 양재구성,청강패션학원,50,1814400,12,,34,대구,달서구
1,"천연염색을 활용한 패션의복제작 (원피스, 쟈켓)",천연패션학원,45,1088640,15,,50,대구,수성구
2,"양장기능사 취득(필기, 실기)",모다인패션디자인학원,60,2314080,10,58.3,48,광주,동구
3,스마트 패턴제작실무,코디잡평생교육원,120,5399520,16,64.7,41,,
4,의류패턴제작과봉제(캐주얼의류+재킷),동작여성인력개발센터,45,1088640,10,36,51,서울,동작구
5,의류 제작 실무 양성 - 여성복,숙명패션디자인학원,75,1921970,15,48,40,대전,서구
6,의복패턴제작 및 봉제실무 양성과정,i센스직업전문학교,130,5849480,20,71.4,49,대구,중구
7,천연염색을 활용한 생활복,천연패션학원,17,604800,15,,56,대구,수성구
8,천연염색과 봉제,천연패션학원,25,604800,15,,55,대구,수성구
9,한복제작양성과정,여의패션디자인학원,44,1572480,12,,49,경북,포항시
10,여성의류제작 양성,한밭직업전문학교,40,1140000,16,81.4,39,대전,중구
11,한복기능사 취득과정,시안침선교육학원,43,1814400,10,,40,대구,수성구
12,패션의류 제작과정,정수향당패션학원,40,1209600,15,28.6,51,대구,서구
13,스마트 캐포츠 패션디자인 & 샘플제작 실무양성과정(웨어러블기기 활용),서면미리벌직업전문학교,139,6273720,20,53.8,42,부산,부산진구
14,한복제작실무 양성과정,고려패션전문학원,75,1814400,20,,48,서울,종로구
15,의상제작 및 수선,이플문화센터,30,1088640,15,30,54,경기,고양시
16,패션디자인 취업과정,서울패션직업전문학교,100,3856800,18,60,23,서울,마포구
17,스마트 의류 패턴과정,안양패션디자인학원,58,2256220,20,48.1,36,경기,안양시
18,센서기반형 아동복 패션디자인,한국패션실용전문학교,128,4949560,18,78.4,,서울,종로구
19,패션디자인A,(주)능력개발원새일다밀,120,4628160,20,66.7,45,대구,남구
20,패션양장기능사자격증취득과정(실기),오뜨리패션디자인학원,36,1562000,10,46.2,36,서울,동대문구
21,패턴 및 봉제 실무과정,마이스터직업전문학원,29,1285600,15,,43,인천,연수구
22,광섬유/LED를 활용한 스마트 의류,강남직업전문학교,150,5785200,20,63.3,55,광주,북구
23,패션디자인 취업과정,서울패션직업전문학교,100,3856800,18,60,25,서울,마포구
24,스마트 소재를 활용한 패션디자인 실무,한국패션실용전문학교,190,7713600,18,78.4,,서울,종로구
25,3D 프린팅을 활용한 패션디자인 A,한국패션실용전문학교,122,4949560,18,78.4,25,서울,종로구
26,하이테크패션디자인,밀라노직업전문학교,150,5785200,20,61.5,32,광주,북구
27,의류봉제실무,광주패션디자인학원,43,1560380,15,,27,광주,북구
28,(일반고특화)스마트패션디자인 및 양장기능사과정,(주) 김해직업전문학교,179,7372560,20,60,,경남,김해시
29,(일반고특화)릴리패드를 활용한 패션디자인 및 양장기능사,(주) 김해직업전문학교,180,7372560,20,60,,경남,김해시
30,패턴/의류봉제(샘플사실무),청주패션디자인학원,50,1928400,15,,,충북,청주시
31,패션메이킹 입문,한밭직업전문학교,60,1451520,16,81.4,51,대전,중구
32,의상제작 양성과정,평생문화직업전문학원,45,1088640,10,46.7,32,전북,전주시
33,시니어 패션디자인,(주) 김해직업전문학교,125,5142400,20,60,40,경남,김해시
34,패션디자인융합과정,중앙직업전문학교,205,8999200,24,81,28,대구,중구
35,여성복제작과정2,엠에프엠섬유패션학원,46,1391040,10,,33,대구,중구
36,패턴디자인봉제실무과정,여의패션디자인학원,44,1572480,12,,44,경북,포항시
37,여성복제작과정2,엠에프엠섬유패션학원,38,1391040,10,,,대구,중구
38,의류제작실무양성-수선 패턴,숙명패션디자인학원,60,1928400,15,48,32,대전,서구
39,[과정평가형]패션디자인산업기사 취득과정,라사라패션직업전문학교(본교),92,4353300,20,,23,서울,마포구
40,패션메이킹 양성,한밭직업전문학교,40,1209600,16,81.4,48,대전,중구
41,하이테크 기술을 활용한 직물 회로 스마트 의류,강남직업전문학교,149,5785200,20,63.3,50,광주,북구
42,의류패턴 제작과 봉제,모다인패션디자인학원,50,1928400,12,58.3,29,광주,동구
43,아동의류메이킹,한밭직업전문학교,48,1451520,20,81.4,39,대전,중구
44,3D CLO를 활용한 패턴제작실무과정,라사라패션직업전문학교(본교),120,5399520,20,71.8,24,서울,마포구
45,양장기능사 취득 (실기),숙명패션디자인학원,50,1607000,15,48,39,대전,서구
46,봉제(양성과정),이솜패션기능학원,23,846720,10,,,대구,서구
47,"스마트패션디자인&양장기능사,패션스타일리스트취득과정",(주)안산직업전문학교,188,7732520,20,62.5,17,경기,안산시
48,웨어러블 패션디자인 실무와 양장기능사 취득 일반고 특화과정,경북산업직업전문학교,168,7372560,20,58.3,17,대구,동구
49,(일반고특화)웨어러블 디바이스 기반 스마트의류(양장기능사),한국패션실용전문학교,177,7372560,20,78.4,17,서울,종로구
50,의상제작 및 수선,이플문화센터,27,979770,15,30,45,경기,고양시
51,[과정평가형] 양장기능사,영진직업전문학교,99,4400550,24,,39,대구,동구
52,(일반고특화)웨어러블 디바이스 기반 스마트의류(양장기능사),한국패션실용전문학교,177,7372560,20,78.4,17,서울,종로구
53,(일반고특화)웨어러블 디바이스 기반 스마트의류(양장기능사),한국패션실용전문학교,177,7372560,20,78.4,17,서울,종로구
54,[과정평가형] 양장기능사,서면미리벌직업전문학교,96,4381500,20,62.5,42,부산,부산진구
55,스마트 패션디자인 실무자양성과정,안양패션디자인학원,110,4358180,20,48.1,42,경기,안양시
