,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,폐수처리기술자 양성과정,중앙환경직업전문학교,73,3696190,29,85.8,34,대전,중구
1,"대기환경관리 기사, 산업기사 취득과정",금성기술직업전문학교,43,1488860,12,31.8,29,부산,부산진구
2,[주경야독] 취업으로 통하는 환경기능사(필기),한국이러닝협회,28,105300,500,,27,서울,구로구
3,[주경야독] 취업으로 통하는 수질환경기사(필기),한국이러닝협회,56,159300,500,,39,서울,구로구
4,[탑강] 침투비파괴검사기사 필기,한국이러닝협회,28,110700,500,,,서울,구로구
5,[탑강] 초음파비파괴검사기사 필기,한국이러닝협회,28,233700,500,,,서울,구로구
6,산업안전 필기,동부직업전문학교,30,556560,25,64.3,47,전남,순천시
7,수질환경관리인 양성 및 수질환경기사 산업기사 이론과정,신동성환경기술학원,58,2973950,20,38.5,23,서울,동작구
8,수질환경기술 및 자격증취득과정,금성기술직업전문학교,69,3483770,20,,30,부산,부산진구
9,산업안전기사(산업기사)필기 및 실무,한국안전기술학원,35,939720,20,53.3,35,울산,남구
10,[탑강] 침투비파괴검사기사 필기,한국이러닝협회,28,121770,500,,,서울,구로구
11,[주경야독] 취업으로 통하는 수질환경기사(필기),한국이러닝협회,56,175230,500,,26,서울,구로구
12,[주경야독] 취업으로 통하는 환경기능사(필기),한국이러닝협회,28,115830,500,,,서울,구로구
13,[탑강] 초음파비파괴검사기사 필기,한국이러닝협회,28,245040,500,,,서울,구로구
14,태양광발전설비 및 전기내선공사 양성과정,경북산업직업전문학교,179,8933820,30,70.9,40,대구,동구
15,산업안전기사 필기 자격증 취득과정A,지행재직업전문학교,34,618400,20,62.2,37,울산,남구
16,산업안전산업기사 자격증 취득(필기와실기),여수직업전문학교,50,927600,20,67.6,38,전남,여수시
17,[탑강] 초음파비파괴검사기사 필기,한국이러닝협회,28,245040,500,,,서울,구로구
18,[탑강] 침투비파괴검사기사 필기,한국이러닝협회,28,121770,500,,,서울,구로구
19,[주경야독] 취업으로 통하는 환경기능사(필기),한국이러닝협회,28,115830,500,,28,서울,구로구
