,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,[주경야독] 취업으로 통하는 산림기능사(필기),한국이러닝협회,28,135000,500,,,서울,구로구
1,(이론+실기)반려견스타일리스트3급자격증취득과정,동물농장애견미용학원,80,2009760,15,50,39,부산,동래구
2,애견미용사 취업과정,프로펫애완동물관리학원,104,2482680,15,46.9,32,강원,원주시
3,[탑강] 유기농업기능사 필기,한국이러닝협회,28,110700,500,20,54,서울,구로구
4,[올배움] 산림기사 필기 합격대비 과정,한국이러닝협회,28,259100,500,,,서울,구로구
5,[주경야독] 취업으로 통하는 산림기사(필기),한국이러닝협회,56,332100,500,,51,서울,구로구
6,[탑강] 유기농업기사 필기,한국이러닝협회,28,238500,500,20,,서울,구로구
7,[탑강] 유기농업산업기사 필기,한국이러닝협회,28,322700,500,20,,서울,구로구
8,애견미용사3급자격증취득,오렌지애견미용학원,110,2625920,25,,29,서울,중구
9,(이론+실기)반려견스타일리스트3급자격증취득과정,동물농장애견미용학원,80,2009760,15,50,32,부산,동래구
10,[올배움] 산림기사 필기 합격대비 과정,한국이러닝협회,28,281510,500,,42,서울,구로구
11,[탑강] 유기농업기능사 필기,한국이러닝협회,28,121770,500,20,,서울,구로구
12,[탑강] 유기농업기사 필기,한국이러닝협회,28,254970,500,20,28,서울,구로구
13,[탑강] 유기농업산업기사 필기,한국이러닝협회,28,336200,500,20,,서울,구로구
14,[주경야독] 취업으로 통하는 산림기사(필기),한국이러닝협회,56,365310,500,,32,서울,구로구
15,[주경야독] 취업으로 통하는 산림기능사(필기),한국이러닝협회,28,148500,500,,50,서울,구로구
16,반려동물미용 실무자 과정,프로펫평생교육원,90,2136540,15,,26,충북,청주시
17,애견미용사3급 취득 과정,다솜애견전문학원,110,2625920,20,,32,부산,연제구
18,애견미용3급자격증과정,탑애견미용학원,100,2387200,24,,28,서울,관악구
19,애견미용취업실무과정,서울애완동물관리학원,100,2601600,15,26.8,28,서울,서초구
20,[탑강] 유기농업기능사 필기,한국이러닝협회,28,121770,500,20,50,서울,구로구
21,[주경야독] 취업으로 통하는 산림기능사(필기),한국이러닝협회,28,148500,500,,54,서울,구로구
22,[탑강] 유기농업기사 필기,한국이러닝협회,28,254970,500,20,,서울,구로구
23,[탑강] 유기농업산업기사 필기,한국이러닝협회,28,336200,500,20,,서울,구로구
24,[주경야독] 취업으로 통하는 산림기사(필기),한국이러닝협회,56,365310,500,,42,서울,구로구
25,[올배움] 산림기사 필기 합격대비 과정,한국이러닝협회,28,281510,500,,,서울,구로구
26,애견미용사3급자격증,울산퍼스트애견미용학원,110,2625920,30,,30,울산,남구
27,숲가꾸기[산림]기술자양성과정,숲생태조경인재개발학원,30,1307250,15,57.9,58,인천,계양구
28,애견미용사3급자격증,울산퍼스트애견미용학원,110,2625920,30,,31,울산,남구
29,[탑강] 유기농업기능사 필기,한국이러닝협회,28,121770,500,20,43,서울,구로구
30,[탑강] 유기농업산업기사 필기,한국이러닝협회,28,336200,500,20,,서울,구로구
31,[주경야독] 취업으로 통하는 산림기사(필기),한국이러닝협회,56,365310,500,,47,서울,구로구
32,[올배움] 산림기사 필기 합격대비 과정,한국이러닝협회,28,281510,500,,53,서울,구로구
33,[주경야독] 취업으로 통하는 산림기능사(필기),한국이러닝협회,28,148500,500,,42,서울,구로구
34,[탑강] 유기농업기사 필기,한국이러닝협회,28,254970,500,20,,서울,구로구
35,애견미용사3급자격증,에이스애견미용학원,110,2625920,30,51.5,28,경기,부천시
36,애견미용실무자 양성과정,HS평생교육원,115,2745280,20,48,40,,
37,애견미용 기초 및 애견미용사 3급 자격증 취득과정,한국반려견연합학원,110,2625920,25,,28,광주,북구
38,애견미용사3급자격증,에이스애견미용학원,110,2625920,25,,27,경기,의정부시
39,애완동물미용 기본과정,광주애견미용학원,100,2387200,15,,27,광주,북구
40,[주경야독] 취업으로 통하는 산림기사(필기),한국이러닝협회,56,365310,500,,48,서울,구로구
