,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,epass 펀드투자권유대행인,한국이러닝협회,28,86400,500,,,서울,구로구
1,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,124800,500,,,서울,구로구
2,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,166400,500,,,서울,구로구
3,epass 증권투자권유대행인,한국이러닝협회,28,116100,500,,22,서울,구로구
4,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,,서울,구로구
5,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,,서울,구로구
6,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,24,서울,구로구
7,epass 펀드투자권유대행인,한국이러닝협회,28,95040,500,,,서울,구로구
8,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,39,서울,구로구
9,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,,서울,구로구
10,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,,서울,구로구
11,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,42,1161380,20,93.8,36,인천,부평구
12,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,,서울,구로구
13,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,27,서울,구로구
14,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,40,서울,구로구
15,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,34,서울,구로구
16,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,41,서울,구로구
17,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,26,서울,구로구
18,보험총무사무원,부천여성인력개발센터,40,1106080,20,64.3,34,경기,부천시
19,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,,서울,구로구
20,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,,서울,구로구
21,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,,서울,구로구
22,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,,서울,구로구
23,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,49,서울,구로구
24,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,38,서울,구로구
25,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,26,서울,구로구
26,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,24,서울,구로구
27,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,31,인천,부평구
28,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,36,서울,은평구
29,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,,서울,구로구
30,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,44,서울,구로구
31,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,49,서울,구로구
32,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,29,서울,구로구
33,보험총무사무원실무자양성,성동여성인력개발센터,40,1106080,15,,40,서울,성동구
34,손해평가사 이론,한국이러닝협회,56,187110,500,,34,서울,구로구
35,손해평가사 실무,한국이러닝협회,56,237600,500,,,서울,구로구
36,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,31,서울,구로구
37,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,47,서울,구로구
38,보험권 취업을 위한 NCS기반 생애재무설계 MASTER과정,한국생애설계 평생교육원,14,553040,30,,,서울,중구
39,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,35,인천,부평구
