,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,요양보호사자격증취득과정,성심요양보호사교육원,30,450000,30,,54,경기,남양주시
1,요양보호사 자격 취득과정,한성요양보호사교육원,30,480000,35,60,56,서울,성북구
2,"요양보호사 국가 자격증 취득과정 (요양지원, 간병인)",남동요양보호사교육원,30,540000,40,51.5,53,인천,남동구
3,요양보호사 국가 자격증 취득과정,성심요양보호사교육원,36,600000,35,71.6,54,경남,양산시
4,요양보호사 자격 취득과정(비NCS),세종고운간호전문학원(부설 세종고운요양보호사 교육원),33,640080,30,64.7,55,세종,
5,요양보호사 자격 취득과정,홍성간호학원부설요양보호사교육원,30,641520,30,40,52,충남,홍성군
6,요양보호사 양성과정(사회복지사자격취득자),부천중부요양보호사교육원,12,200000,40,52.4,48,경기,부천시
7,요양보호사 자격취득과정,아리요양보호사교육원,30,450000,30,,58,경기,용인시
8,요양보호사 자격 취득과정,바드림요양보호사교육원,30,450000,36,,57,서울,동대문구
9,요양보호사 양성과정(자격취득),영남간호학원부설 요양보호사교육원,35,630000,40,46.4,57,대구,서구
10,요양보호사 자격 취득 과정,에녹요양보호사교육원,30,540000,40,50,58,서울,구로구
11,요양보호사 자격 취득 과정,아리아요양보호사교육원,30,500160,30,,57,경기,하남시
12,요양보호사 자격취득과정,성모요양보호사교육원,30,500160,36,73.1,54,경북,상주시
13,요양보호사 자격 취득과정,다솜요양보호사교육원,37,600000,35,,56,경남,진주시
14,요양보호사자격증 취득과정,한국실버요양보호사교육원,30,468000,30,50.5,60,서울,관악구
15,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62,56,경기,파주시
16,요양보호사 양성과정(자격증 취득과정),부천중부요양보호사교육원,30,510000,40,52.4,56,경기,부천시
17,요양보호사자격증취득,굿모닝요양보호사교육원,30,641520,36,59,55,울산,남구
18,요양보호사자격증취득과정,성모간호학원부설요양보호사교육원,33,600000,34,64.1,53,전북,정읍시
19,요양보호사자격증 취득,새고려요양보호사교육원,30,600000,30,50,55,부산,금정구
20,요양보호사 자격 취득과정(주간),화명요양보호사교육원,33,600000,39,60.2,56,부산,북구
21,요양보호사 자격취득과정,보성요양보호사교육원,30,580080,40,,56,부산,해운대구
22,요양보호사 자격증 취득과정,현대요양보호사교육원,35,600000,30,54.3,54,울산,남구
23,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62,,경기,파주시
24,요양보호사 자격증 취득과정,우리요양보호사교육원,30,510000,40,,56,서울,광진구
25,요양보호사 자격 취득,반구요양보호사교육원,30,540000,40,,53,울산,중구
26,요양보호사자격취득과정,범계요양보호사교육원,30,499920,40,50.5,56,경기,안양시
27,간호조무사자격취득과정(주간C),덕천간호학원,191,2903200,30,74.7,29,부산,북구
28,요양보호사(표준교육과정),안양벧엘요양보호사교육원,30,550000,24,60.9,54,경기,안양시
29,요양보호사 자격 취득과정,부경요양보호사교육원,30,600000,40,50.9,56,부산,북구
30,요양보호사 자격증 취득과정,큰사랑요양보호사교육원,30,450000,40,90,51,경북,구미시
31,요양보호사 자격 취득과정,당감요양보호사교육원,35,600000,39,67.1,53,부산,부산진구
32,요양보호사자격증취득과정,탑요양보호사교육원,30,528000,35,,56,경기,여주시
33,요양보호사 자격 취득과정,로뎀요양보호사교육원,30,520080,20,,52,경기,평택시
34,요양보호사양성(실업자),강릉요양보호사교육원,36,549840,40,61.2,54,강원,강릉시
35,요양보호사 자격 취득과정,희망가득요양보호사교육원,39,600000,40,,51,경남,거제시
36,요양보호사국가자격증취득과정,다사랑요양보호사교육원,30,640080,30,61.4,53,대구,동구
37,요양보호사 자격 취득과정,경기원당요양보호사교육원,30,640800,34,,57,경기,고양시
38,요양보호사 자격 취득과정,삼척요양보호사교육원,30,552000,35,79.7,52,강원,삼척시
39,요양보호사 자격증취득과정,참된요양보호사교육원,30,480000,30,,57,서울,강서구
40,요양보호사 실업자과정(주간),인천서부요양보호사교육원,32,570000,40,46.2,54,인천,서구
41,요양보호사국가자격증취득(240시간),(시흥)소래요양보호사교육원,31,450000,40,,55,경기,시흥시
42,요양보호사 국가자격증취득 & 취업 연계과정,온양요양보호사교육원,33,529920,28,57.1,58,충남,아산시
43,요양보호사 자격 취득과정,병점길요양보호사교육원,30,500000,34,,56,경기,화성시
44,요양보호사 자격취득과정,행복한요양보호사교육원,30,550080,40,,55,경기,의정부시
45,요양보호사 자격 취득 과정,봉담요양보호사교육원,30,540000,40,,54,경기,화성시
46,요양보호사 자격 취득과정,김포요양보호사교육원,30,600000,40,52.4,57,경기,김포시
47,NCS 요양보호사 자격증 취득과정,영통경기요양보호사교육원,30,600000,37,38.9,55,경기,수원시
48,요양보호사 자격 취득과정,제이성모요양보호사교육원,30,650000,30,65,51,전북,익산시
49,요양보호사자격증취득,새희망요양보호사교육원,30,510000,33,55.2,57,인천,남동구
50,요양보호사 자격 취득과정,한국요양보호사교육원,30,510000,30,,54,경기,고양시
51,요양보호사 자격 취득과정,예산간호학원부설 요양보호사교육원,33,641280,30,87.5,49,충남,예산군
52,요양보호사자격증취득과정,부산해운대요양보호사교육원,35,600000,35,62.7,56,부산,해운대구
53,요양보호사 자격 취득과정,강남케어요양보호사교육원,30,510000,30,,58,서울,강남구
54,요양보호사 양성과정,성심요양보호사교육원,30,500000,37,58.2,55,서울,도봉구
55,요양보호사 국가자격증 취득과정(일반반),희망요양보호사교육원,30,550080,30,48,58,서울,은평구
56,요양보호사자격취득과정,서일간호학원부설요양보호사교육원,33,641520,34,56.6,56,충남,서산시
57,요양보호사 자격 취득과정,경기제일요양보호사교육원,30,600000,40,58.9,54,경기,안양시
58,요양보호사 자격 취득과정,지산요양보호사교육원,30,550080,38,59.5,59,대구,수성구
59,요양보호사 자격증 취득과정,대신요양보호사교육원,30,480000,30,52.3,54,경기,수원시
60,요양보호사 자격 취득과정,동두천간호학원요양보호사교육원,30,600000,35,65.1,54,경기,동두천시
61,요양보호사 자격 취득 과정,계양온누리요양보호사교육원,30,600000,40,,55,인천,계양구
62,요양보호사 자격 취득과정(주간반),한양요양보호사교육원,30,480000,40,47,55,충남,천안시
63,요양보호사 국가자격증 취득과정,하단레몬요양보호사교육원,30,600000,40,49.4,54,부산,사하구
64,요양보호사 자격증 취득 과정,경북베델요양보호사교육원,33,640080,35,42.3,57,대구,중구
65,요양보호사 자격증취득 과정,안양여성인력개발센터부설 요양보호사교육원,30,450000,22,49.6,54,경기,안양시
66,요양보호사 자격 취득과정,달서구요양보호사교육원,33,550080,40,40.8,55,대구,달서구
67,요양보호사 자격 취득과정,정상요양보호사교육원,30,540000,38,56,57,경기,성남시
68,요양보호사자격취득과정,사랑평생교육원 부설 요양보호사교육원,30,600000,40,68.9,52,강원,원주시
69,요양보호사 자격 취득과정,동래삼성실버요양보호사교육원,37,640080,37,59.8,55,부산,동래구
70,요양보호사 자격 취득 과정,e-한나요양보호사교육원,35,540000,40,62.5,57,서울,강동구
71,요양보호사 취득과정,호남제일간호학원부설요양보호사교육원,33,600000,30,72,54,전북,전주시
72,요양보호사 (자격취득) 양성 과정,경북요양보호사교육원,30,600000,40,65,52,경북,상주시
73,요양보호사 자격 취득과정,포천요양보호사교육원,33,510000,34,50,53,경기,포천시
74,요양보호사자격취득과정,금빛요양보호사교육원,30,500160,40,46.9,57,서울,강서구
75,요양보호사 자격증 취득과정,충주요양보호사교육원,32,600000,38,63.7,56,충북,충주시
76,요양보호사국가자격증취득과정,참사랑요양보호사교육원,30,500160,40,63,55,충북,청주시
77,요양보호사 자격 취득과정,은평엔젤요양보호사교육원,30,510000,40,50.8,56,서울,은평구
78,요양보호사 자격취득과정,수원행복 요양보호사 교육원,30,480000,40,58.7,56,경기,수원시
79,요양보호사 자격증 취득과정,가족요양보호사교육원,30,450000,35,64.7,57,서울,강동구
80,요양보호사 국가자격증 양성과정,햇빛요양보호사교육원,30,499920,36,66.3,55,서울,도봉구
81,"요양보호사 자격증 취득과정(주중,주말반)",유니스타요양보호사교육원,30,540000,40,55,55,경기,파주시
82,요양보호사 자격 취득과정,증평중앙요양보호사교육원,36,500160,35,61.9,58,충북,증평군
83,요양보호사 자격 취득,경희요양보호사교육원,31,600000,36,,50,충북,충주시
84,요양보호사(표준)주간과정,익산평화요양보호사교육원,30,641280,25,47.5,53,전북,익산시
85,요양보호사 자격 취득과정(신규반),(주)한동네요양보호사교육원,30,600000,39,,49,경기,성남시
86,요양보호사 자격증 취득과정 (사회복지사),진해간호요양보호사교육원,12,200000,30,35.5,45,경남,창원시
87,"요양보호사자격취득과정(신규,2019-2)",미래요양보호사교육원,33,640800,40,54.3,57,대구,달서구
88,요양보호사 자격 취득과정,연세요양보호사교육원,30,450000,40,45.4,55,경기,용인시
89,NCS요양보호사 국가자격증과정,부모사랑제2캠퍼스요양보호사교육원,30,600000,32,75,56,경기,의정부시
90,요양보호사 국가자격소지자반 (사회복지사),안성의료복지사회적협동조합 부설 안성요양보호사교육원,11,250000,30,60.9,35,경기,안성시
91,요양보호사 자격 취득과정,서수원간호학원부설서수원요양보호사교육원,30,500000,35,54.4,54,경기,수원시
92,요양보호사 자격증 취득과정,남서울요양보호사교육원,30,500160,35,69.6,57,경기,용인시
93,"NCS 요양보호사 국가자격증 취득과정 (중장년층,여성가장,취약계층)",천사요양보호사교육원,31,600000,35,61.4,58,부산,부산진구
94,요양보호사 자격취득 과정,영통에이원요양보호사교육원,30,480000,33,66.7,55,경기,수원시
95,요양보호사 자격 취득과정,천안경희간호학원부설 요양보호사교육원,30,480000,15,72,57,충남,천안시
96,요양보호사 자격증 취득 과정,나눔요양보호사교육원,30,624000,28,43.4,54,울산,북구
97,요양보호사자격증취득,굿모닝요양보호사교육원,50,641520,36,59,53,울산,남구
98,요양보호사 자격취득과정,한국실버요양보호사교육원,30,600000,40,45.8,56,부산,서구
99,NCS 요양보호사 자격 취득과정,인천일신요양보호사교육원,30,570000,40,62.2,53,인천,부평구
100,요양보호사자격증취득과정,정암요양보호사교육원,31,600000,38,49.2,58,부산,부산진구
101,요양보호사 국가자격증 취득과정,미소로섬김 요양보호사교육원,30,540000,37,50,55,인천,계양구
102,요양보호사 자격취득과정,전국고용요양보호사교육원,30,540000,40,54.9,59,서울,동대문구
103,요양보호사 자격 취득과정,해맞이요양보호사교육원,30,660000,40,58.1,53,경북,울진군
104,요양보호사양성과정,온누리요양보호사교육원,30,510000,40,,55,경기,부천시
105,병원코디네이터양성,한국재난안전정보협회평생교육원,32,886880,20,,,경남,창원시
106,요양보호사 자격취득과정,이천요양보호사교육원,30,630000,32,60.5,57,경기,이천시
107,요양보호사자격증취득과정,광주사랑요양보호사교육원,30,600000,36,41,52,광주,서구
108,요양보호사 자격증 취득과정(비NCS),마산요양보호사교육원,30,600000,25,53.2,53,경남,창원시
109,요양보호사자격증취득과정,어르신사랑요양보호사교육원,30,540000,30,66,58,경기,용인시
110,요양보호사 자격증취득과정,고운요양보호사교육원,30,528000,40,49.4,56,서울,동작구
