,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,드론(무인멀티콥터)국가자격증 실기과정,강남무인항공,10,1270720,8,,62,전북,장수군
1,[유망자격] 드론 (초경량비행장치 무인멀티콥터) 조종자 국가자격 (필기),사단법인 한국에듀테크산업협회,56,221400,500,,34,서울,강남구
2,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,24,서울,서초구
3,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,24,서울,서초구
4,초경량비행장치(드론)조종자자격증취득(필기+실기)과정,청연항공과학직업전문학교,41,2137800,24,,,경기,용인시
5,[유망자격] 드론 (초경량비행장치 무인멀티콥터) 조종자 국가자격 (필기),사단법인 한국에듀테크산업협회,56,243540,500,,,서울,강남구
6,드론(무인멀티콥터)국가자격증 종합과정,강남무인항공,30,2001160,8,,44,전북,장수군
7,초경량비행장치(드론) 조종자 교관 양성과정,주식회사스카이엔터프라이즈,40,4002700,6,,,대구,달서구
8,초경량비행장치 무인멀티콥터(드론) 조종자국가자격증취득 과정,알씨스카이 부설 무인기술UAV교육원,17,2301220,10,,56,경남,창원시
9,드론(무인멀티콥터)국가자격증 실기과정,강남무인항공,10,1270720,8,,54,전북,장수군
10,초경량비행장치(드론) 조종자 자격증 취득과정,더조은아카데미,19,2001080,8,41.2,46,광주,서구
11,[유망자격] 드론 (초경량비행장치 무인멀티콥터) 조종자 국가자격 (필기),사단법인 한국에듀테크산업협회,56,243540,500,,,서울,강남구
12,항공사지상직체크인카운터/예약발권과정 (DCS/CRS),코세아지상직학원((주)코세아서비스개발원),20,1351260,16,,23,서울,마포구
13,항공예약발권(CRS)자격증 과정,(주)에이엔시승무원양성학원,25,890750,15,,22,부산,부산진구
14,항공지상직 취업 CRS / DCS 자격증 취득과정 (NCS기반),종로아바CS평생교육원,26,926380,16,,24,서울,종로구
15,초경량비행장치(드론) 조종자격 취득 및 드론방제기초,영진기술교육원,25,1425200,8,,46,경남,고성군
