index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
0,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,391500,500,26.0,53.0,04_교육 자연 사회과학,한국어교원
1,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,286200,500,26.0,,04_교육 자연 사회과학,한국어교원
2,한국어교원) -이론편-,한국이러닝협회,56,383800,500,26.0,51.0,04_교육 자연 사회과학,한국어교원
3,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,04_교육 자연 사회과학,한국어교원
4,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,,04_교육 자연 사회과학,한국어교원
5,한국어교원) -이론편-,한국이러닝협회,56,422180,500,26.0,,04_교육 자연 사회과학,한국어교원
6,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,52.0,04_교육 자연 사회과학,한국어교원
7,한국어교원) -이론편-,한국이러닝협회,56,422180,500,26.0,,04_교육 자연 사회과학,한국어교원
8,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,41.0,04_교육 자연 사회과학,한국어교원
9,한국어교원) -이론편-,한국이러닝협회,56,422180,500,26.0,31.0,04_교육 자연 사회과학,한국어교원
10,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,38.0,04_교육 자연 사회과학,한국어교원
11,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,44.0,04_교육 자연 사회과학,한국어교원
12,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,45.0,04_교육 자연 사회과학,한국어교원
13,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,34.0,04_교육 자연 사회과학,한국어교원
14,한국어교원) -이론편-,한국이러닝협회,56,422180,500,26.0,41.0,04_교육 자연 사회과학,한국어교원
15,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,61.0,04_교육 자연 사회과학,한국어교원
16,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,41.0,04_교육 자연 사회과학,한국어교원
17,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,55.0,04_교육 자연 사회과학,한국어교원
18,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,35.0,04_교육 자연 사회과학,한국어교원
19,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,49.0,04_교육 자연 사회과학,한국어교원
20,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,35.0,04_교육 자연 사회과학,한국어교원
21,한국어교원,은평여성인력개발센터,30,740080,23,21.7,46.0,04_교육 자연 사회과학,한국어교원
22,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,50.0,04_교육 자연 사회과학,한국어교원
23,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,40.0,04_교육 자연 사회과학,한국어교원
24,한국어교원,은평여성인력개발센터,30,740080,23,21.7,46.0,04_교육 자연 사회과학,한국어교원
25,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,39.0,04_교육 자연 사회과학,한국어교원
26,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,38.0,04_교육 자연 사회과학,한국어교원
27,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,04_교육 자연 사회과학,한국어교원
28,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,37.0,04_교육 자연 사회과학,한국어교원
29,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,56,430650,500,26.0,49.0,04_교육 자연 사회과학,한국어교원
30,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,56,314820,500,26.0,42.0,04_교육 자연 사회과학,한국어교원
