index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
0,요양보호사 자격 취득과정,한성요양보호사교육원,30,480000,35,60.0,56.0,06_보건 의료,요양보호사
1,"요양보호사 국가 자격증 취득과정 (요양지원, 간병인)",남동요양보호사교육원,30,540000,40,51.5,53.0,06_보건 의료,요양보호사
2,요양보호사 국가 자격증 취득과정,성심요양보호사교육원,36,600000,35,71.6,54.0,06_보건 의료,요양보호사
3,요양보호사 자격 취득과정(비NCS),세종고운간호전문학원(부설 세종고운요양보호사 교육원),33,640080,30,64.7,55.0,06_보건 의료,요양보호사
4,요양보호사 자격 취득과정,홍성간호학원부설요양보호사교육원,30,641520,30,40.0,52.0,06_보건 의료,요양보호사
5,요양보호사 양성과정(사회복지사자격취득자),부천중부요양보호사교육원,12,200000,40,52.4,48.0,06_보건 의료,요양보호사
6,요양보호사 양성과정(자격취득),영남간호학원부설 요양보호사교육원,35,630000,40,46.4,57.0,06_보건 의료,요양보호사
7,요양보호사 자격 취득 과정,에녹요양보호사교육원,30,540000,40,50.0,58.0,06_보건 의료,요양보호사
8,요양보호사 자격취득과정,성모요양보호사교육원,30,500160,36,73.1,54.0,06_보건 의료,요양보호사
9,요양보호사자격증 취득과정,한국실버요양보호사교육원,30,468000,30,50.5,60.0,06_보건 의료,요양보호사
10,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,56.0,06_보건 의료,요양보호사
11,요양보호사 양성과정(자격증 취득과정),부천중부요양보호사교육원,30,510000,40,52.4,56.0,06_보건 의료,요양보호사
12,요양보호사자격증취득,굿모닝요양보호사교육원,30,641520,36,59.0,55.0,06_보건 의료,요양보호사
13,요양보호사자격증취득과정,성모간호학원부설요양보호사교육원,33,600000,34,64.1,53.0,06_보건 의료,요양보호사
14,요양보호사자격증 취득,새고려요양보호사교육원,30,600000,30,50.0,55.0,06_보건 의료,요양보호사
15,요양보호사 자격 취득과정(주간),화명요양보호사교육원,33,600000,39,60.2,56.0,06_보건 의료,요양보호사
16,요양보호사 자격증 취득과정,현대요양보호사교육원,35,600000,30,54.3,54.0,06_보건 의료,요양보호사
17,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,,06_보건 의료,요양보호사
18,요양보호사자격취득과정,범계요양보호사교육원,30,499920,40,50.5,56.0,06_보건 의료,요양보호사
19,간호조무사자격취득과정(주간C),덕천간호학원,191,2903200,30,74.7,29.0,06_보건 의료,간호조무사
20,요양보호사(표준교육과정),안양벧엘요양보호사교육원,30,550000,24,60.9,54.0,06_보건 의료,요양보호사
21,요양보호사 자격 취득과정,부경요양보호사교육원,30,600000,40,50.9,56.0,06_보건 의료,요양보호사
22,요양보호사 자격증 취득과정,큰사랑요양보호사교육원,30,450000,40,90.0,51.0,06_보건 의료,요양보호사
