index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
0,"직업상담사 2급 국가기술자격 취득과정(1,2차 통합)",씨앤씨직업상담학원,40,1028320,21,40.0,32.0,07_사회복지 종교,직업상담
1,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,40.0,07_사회복지 종교,직업상담
2,"직업상담사2급자격증취득과정(1차,2차)",현대직업전문학교,70,1349670,20,49.1,32.0,07_사회복지 종교,직업상담
3,직업상담사자격증(필기+실기),윤성회계캐드컴퓨터학원,50,1285400,20,33.3,26.0,07_사회복지 종교,직업상담
4,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,424900,500,32.5,35.0,07_사회복지 종교,직업상담
5,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,154200,500,32.5,,07_사회복지 종교,직업상담
6,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,170100,500,29.3,,07_사회복지 종교,직업상담
7,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,202500,500,32.3,,07_사회복지 종교,사회복지
8,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,143100,500,32.5,30.0,07_사회복지 종교,직업상담
9,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,253800,500,32.3,,07_사회복지 종교,사회복지
10,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,422400,500,32.3,42.0,07_사회복지 종교,사회복지
11,"직업상담사2급(1차,2차)취득",서대문여성인력개발센터,43,1105440,20,43.0,36.0,07_사회복지 종교,직업상담
12,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,291600,500,32.5,44.0,07_사회복지 종교,직업상담
13,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,137700,500,32.3,,07_사회복지 종교,사회복지
14,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,483300,500,29.3,44.0,07_사회복지 종교,직업상담
15,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,278400,500,32.5,25.0,07_사회복지 종교,직업상담
16,"직업상담사 2급 자격 취득과정(1차필기, 2차실기 통합반)",영남직업능력개발원,47,1523190,20,43.4,41.0,07_사회복지 종교,직업상담
17,직업상담사2급 자격증 취득과정,미토직업전문학교,30,771240,20,35.5,38.0,07_사회복지 종교,직업상담
18,직업상담사2급 자격증,주식회사한국인재양성교육원,50,1285400,20,31.3,40.0,07_사회복지 종교,직업상담
19,직업상담사2급 필기과정,(주)조근혜 부설 대전직업상담사학원,32,771240,15,48.8,40.0,07_사회복지 종교,직업상담
20,직업상담사2급(2차)자격증 취득,울산직업전문학교,19,494870,20,30.0,43.0,07_사회복지 종교,직업상담
21,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,36.0,07_사회복지 종교,직업상담
22,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,46.0,07_사회복지 종교,직업상담
23,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,35.0,07_사회복지 종교,직업상담
24,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,47.0,07_사회복지 종교,직업상담
25,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,07_사회복지 종교,사회복지
26,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,26.0,07_사회복지 종교,사회복지
27,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,,07_사회복지 종교,직업상담
28,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,37.0,07_사회복지 종교,직업상담
29,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,47.0,07_사회복지 종교,직업상담
30,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,29.0,07_사회복지 종교,사회복지
31,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,26.0,07_사회복지 종교,사회복지
32,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,07_사회복지 종교,직업상담
33,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,47.0,07_사회복지 종교,직업상담
34,직업상담사2급 자격증취득(1차+2차),이젠컴퓨터아트서비스학원,50,1285400,10,31.3,27.0,07_사회복지 종교,직업상담
35,직업상담사 2급(1차+2차)자격증 취득,종로여성인력개발센터,43,1105440,25,49.0,40.0,07_사회복지 종교,직업상담
36,직업상담사2급 자격증취득(2차 실기),양산직업학교,20,385620,20,58.8,41.0,07_사회복지 종교,직업상담
37,직업상담사2급 자격(1차 필기),부산예일직업전문학교,26,655550,20,34.1,33.0,07_사회복지 종교,직업상담
38,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,45.0,07_사회복지 종교,직업상담
39,산모신생아 건강관리사 양성,엘림평생교육원,15,373260,12,56.8,57.0,07_사회복지 종교,건강관리
40,직업상담사2급 자격증 취득,영등포여성인력개발센터,39,1075200,20,37.5,44.0,07_사회복지 종교,직업상담
41,직업상담사2급 자격증 취득과정(2차 실기),(주)이룸리더십연구원 이룸리더십학원,27,514160,20,33.3,48.0,07_사회복지 종교,직업상담
42,"직업상담사 2급 자격증 취득과정 (1차, 2차)",(주)미래산업교육원 북부직업전문학교,52,1336810,20,39.7,38.0,07_사회복지 종교,직업상담
