index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
0,웹디자인&퍼블리셔 구직자과정,세잔IT직업전문학교,123,4158060,30,94.1,25.0,08_문화 예술 디자인 방송,웹디자인
1,시각편집디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,29.0,08_문화 예술 디자인 방송,포토샵
2,"그래픽실무(포토샵,일러스트,인디자인)",배움회계캐드컴퓨터학원,30,674280,10,43.6,,08_문화 예술 디자인 방송,포토샵
3,디자인편집과영상그래픽편집,배움회계캐드컴퓨터학원,50,1123800,10,43.6,29.0,08_문화 예술 디자인 방송,영상
4,"환경디자인 실내건축전문가(캐드, 맥스, 스케치업)",이젠아카데미,75,3371400,20,66.7,25.0,08_문화 예술 디자인 방송,
5,그래픽디자인자격증취득(GTQ-포토샵1/일러스트1급/인디자인1급 ),크린컴퓨터학원,35,872340,10,35.6,30.0,08_문화 예술 디자인 방송,포토샵
6,웹퍼블리셔(웹디자인)UI/UX 프론트앤드 양성과정,더조은퍼스트컴퓨터바리스타학원,95,4270440,20,63.0,26.0,08_문화 예술 디자인 방송,웹디자인
7,"게임그래픽(원화,모델링,애니메이션,이펙트)실무자 양성",하이미디어컴퓨터학원,84,4174770,22,46.7,26.0,08_문화 예술 디자인 방송,게임
8,디지털디자인(웹&멀티미디어) 양성,(주)탑디자인학원,40,899040,10,55.4,25.0,08_문화 예술 디자인 방송,멀티미디어
9,시각디자인B,(재)이찬 경남직업능력개발원,115,4495200,22,61.8,,08_문화 예술 디자인 방송,시각디자인
10,UI/UX 웹디자인(웹퍼블리셔),하이미디어IT융합인재개발원,99,4270440,20,63.6,26.0,08_문화 예술 디자인 방송,웹디자인
11,UI/UX 디자인(웹퍼블리셔),더조은아카데미,92,3596160,20,60.3,22.0,08_문화 예술 디자인 방송,
12,과정평가형 웹디자인기능사,인천직업능력교육원,91,3579303,30,70.4,29.0,08_문화 예술 디자인 방송,웹디자인
13,포토샵&영상편집(프리미어/에펙),윤성회계캐드컴퓨터학원,30,674280,15,40.5,39.0,08_문화 예술 디자인 방송,포토샵
14,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,110700,500,33.3,39.0,08_문화 예술 디자인 방송,포토샵
15,IT기기 활용을 위한 e-Book과 app-Book,사단법인 한국에듀테크산업협회,28,56700,500,33.3,,08_문화 예술 디자인 방송,
16,[탑강] UX디자인 7가지 비밀,한국이러닝협회,28,212700,500,25.0,,08_문화 예술 디자인 방송,
17,"[원격+집체훈련] 영상 모션 편집(포토샵, 프리미어, 애프터이펙트)",(사)한국디지털컨버전스협회,62,1214560,500,41.0,,08_문화 예술 디자인 방송,포토샵
18,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,56700,500,33.3,,08_문화 예술 디자인 방송,빅데이터
19,시각편집디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,28.0,08_문화 예술 디자인 방송,포토샵
20,"GTQ취득과정(포토샵,일러스트)",세종IT직업전문학교,25,561900,20,66.7,30.0,08_문화 예술 디자인 방송,포토샵
21,웹 드라마 등 영상연출 양성,라온영상예술원학원,105,4808160,22,66.7,38.0,08_문화 예술 디자인 방송,영상
22,게임 그래픽 콘텐츠 디자이너 융합과정,(주)누리마루학원,125,3894370,25,42.3,24.0,08_문화 예술 디자인 방송,게임
23,"영상편집&모션그래픽제작(프리미어,에펙)",더조은컴퓨터학원,30,1348560,20,38.1,29.0,08_문화 예술 디자인 방송,영상
24,"영상편집&모션그래픽제작(프리미어,에펙)",더조은아이티아카데미학원,48,1067610,20,32.9,30.0,08_문화 예술 디자인 방송,영상
25,디지털디자인[포토샵/일러스트레이터]초급자 양성,디앤디컴퓨터학원,40,899040,20,50.0,31.0,08_문화 예술 디자인 방송,포토샵
26,게임그래픽 콘텐츠 제작자 양성,더조은아카데미,80,3987840,20,47.1,26.0,08_문화 예술 디자인 방송,게임
27,디지털디자인 UI/UX 콘텐츠제작,경북산업직업전문학교,112,4270440,25,57.8,28.0,08_문화 예술 디자인 방송,디지털디자인
28,"디지털영상편집디자인(프리미어,에펙)-디지털디자인",주식회사 이젠컴퓨터아카데미,35,1573320,20,60.4,26.0,08_문화 예술 디자인 방송,영상
29,시각디자인GTQ자격취득(일러스트&포토샵),부산더조은직업전문학교,32,899040,20,43.8,,08_문화 예술 디자인 방송,포토샵
30,3D프린팅운용 및 모형설계제작양성과정,성심정보직업전문학교,118,3989490,20,76.5,30.0,08_문화 예술 디자인 방송,
31,코딩을 활용한 디지털웹디자인(UI&UX),이젠컴퓨터아트서비스학원,121,3371400,30,65.2,21.0,08_문화 예술 디자인 방송,웹디자인
32,"시각출판편집디자인(옥외광고, 일러스트,포토샵, 인디자인) 양성과정 J-1",그린컴퓨터아카데미 부산,101,3820920,20,63.4,25.0,08_문화 예술 디자인 방송,포토샵
33,"그래픽디자인입문(포토샵,일러스트)양성",인천구월그린컴퓨터아트학원,24,674280,20,43.2,32.0,08_문화 예술 디자인 방송,포토샵
34,디자인 양성(포토샵+일러스트&그래픽실무),이노직업전문학교,35,786660,20,38.7,45.0,08_문화 예술 디자인 방송,포토샵
