,과정명,학원명,기간,훈련비,정원,취업률,연령대
0,epass 펀드투자권유대행인,한국이러닝협회,28,86400,500,,
1,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,124800,500,,
2,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,166400,500,,
3,epass 증권투자권유대행인,한국이러닝협회,28,116100,500,,22
4,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,
5,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,
6,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,24
7,epass 펀드투자권유대행인,한국이러닝협회,28,95040,500,,
8,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,39
9,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,
10,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,
11,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,42,1161380,20,93.8,36
12,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,
13,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,27
14,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,40
15,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,34
16,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,41
17,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,26
18,보험총무사무원,부천여성인력개발센터,40,1106080,20,64.3,34
19,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,
20,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,
21,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,
22,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,
23,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,49
24,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,38
25,쉽고 빠르게 배우는 외환전문역 2종,한국이러닝협회,28,177040,500,,26
26,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,24
27,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,31
28,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,36
29,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,
30,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,44
31,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,49
32,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,29
33,보험총무사무원실무자양성,성동여성인력개발센터,40,1106080,15,,40
34,손해평가사 이론,한국이러닝협회,56,187110,500,,34
35,손해평가사 실무,한국이러닝협회,56,237600,500,,
36,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,31
37,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,47
38,보험권 취업을 위한 NCS기반 생애재무설계 MASTER과정,한국생애설계 평생교육원,14,553040,30,,
39,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,35
40,손해평가사 이론,한국이러닝협회,56,187110,500,,60
41,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,35
42,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,31
43,손해평가사 실무,한국이러닝협회,56,237600,500,,59
44,금융권 취업을 위한 NCS기반 생애재무설계 MASTER과정,한국생애설계 평생교육원,10,507200,30,,
45,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,
46,손해평가사 이론,한국이러닝협회,56,187110,500,,51
47,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,29
48,손해평가사 이론,한국이러닝협회,56,187110,500,,48
49,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,23
50,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,27
51,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,34
52,쉽고 빠르게 배우는 외환전문역 1종,한국이러닝협회,28,131280,500,,26
53,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,
54,손해평가사 이론,한국이러닝협회,56,187110,500,,48
55,epass 증권투자권유대행인,한국이러닝협회,28,127710,500,,42
56,손해평가사 이론,한국이러닝협회,56,187110,500,,52
57,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,45
58,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,36
59,손해평가사 이론,한국이러닝협회,56,187110,500,,52
60,손해평가사 이론,한국이러닝협회,56,187110,500,,41
61,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,35
62,보험총무사무원실무자양성,성동여성인력개발센터,40,1106080,15,,42
63,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,33
64,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,39
65,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33
66,손해평가사 이론,한국이러닝협회,56,187110,500,,51
67,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33
68,손해평가사 이론,한국이러닝협회,56,187110,500,,52
69,손해평가사 이론,한국이러닝협회,56,187110,500,,48
70,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,29
71,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,37
72,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33
73,손해평가사 이론,한국이러닝협회,56,187110,500,,49
74,손해평가사 실무,한국이러닝협회,56,237600,500,,
75,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,
76,손해평가사 실무,한국이러닝협회,56,237600,500,,56
77,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,42
78,손해평가사 이론,한국이러닝협회,56,187110,500,,62
79,손해평가사 이론,한국이러닝협회,56,187110,500,,
80,손해평가사 실무,한국이러닝협회,56,237600,500,,
81,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,
82,손해평가사 실무,한국이러닝협회,56,237600,500,,
83,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,
84,손해평가사 이론,한국이러닝협회,56,187110,500,,
85,손해평가사 이론,한국이러닝협회,56,187110,500,,
86,손해평가사 실무,한국이러닝협회,56,237600,500,,
87,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,
88,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,
