,newstitles,newscomname
0,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020124444918"">'국민의짐' 표현 ""사과하라""..이재명 ""국민의짐 진짜 안 되길 바란다""</a>","<span class=""info_news"">뉴시스</span>"
1,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020125106028"">100kg 넘는 아들 목 졸라 살해한 76세 노모에 징역 20년 구형</a>","<span class=""info_news"">연합뉴스</span>"
2,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020123108709"">'사상초유' 검찰총장까지 수사 받나..이성윤에 달렸다</a>","<span class=""info_news"">뉴시스</span>"
3,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020120713128"">[단독] 고창서 70대 여성 독감 백신 접종 후 또 사망</a>","<span class=""info_news"">더팩트</span>"
4,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020114054908"">[단독] 참모들 부른 尹 ""라임 비호세력 처단"" 직접 썼다</a>","<span class=""info_news"">국민일보</span>"
5,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020133104079"">[단독] ""불투명 비말 칸막이 때문에 칠판이 안 보여요"".. 초등학교 '깜깜이 수업'</a>","<span class=""info_news"">서울신문</span>"
6,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020101824392"">코로나에 다 망했다는데..'빵집'만 살아남은 이유는?</a>","<span class=""info_news"">헤럴드경제</span>"
7,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020114401071"">일본 활어차 싣고 온 바닷물 53t 매일 부산서 무단방류</a>","<span class=""info_news"">연합뉴스</span>"
8,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020123429764"">1억 마세라티·5천 벤츠 몰며 서울 공공임대주택 거주 어떻게 가능?(종합)</a>","<span class=""info_news"">뉴시스</span>"
9,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020121609425"">秋가 때리면 커지는 윤석열 존재감..'가족 수사' 이번엔 다를 수도</a>","<span class=""info_news"">뉴스1</span>"
10,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020120347992"">""외국인 건보혜택 중국인이 71% 차지..5년반 동안 2조4천억원""</a>","<span class=""info_news"">연합뉴스</span>"
11,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020102100530"">[단독] ""그 알량한 돈때문에""..300명 정리해고 여행박사 사장의 마지막 편지</a>","<span class=""info_news"">매일경제</span>"
12,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020103723495"">주호영, 문대통령에 추미애 즉각 경질 요구</a>","<span class=""info_news"">연합뉴스</span>"
13,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020122441582"">음주운전 사고부담금 최대 1억6500만원..전동킥보드도 차보험 보상</a>","<span class=""info_news"">아시아경제</span>"
14,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020115821679"">""확진자 쏟아지는 부산 북구에 차마""..순천시,구상권 청구 보류</a>","<span class=""info_news"">뉴스1</span>"
15,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020122041509"">서울대 ""나경원 아들 대신 대학원생 학회 참석해 발표""</a>","<span class=""info_news"">뉴시스</span>"
16,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020104556856"">손흥민 토트넘 잔류시 최고 주급 유력..EPL 톱5 진입 가능성도</a>","<span class=""info_news"">스포티비뉴스</span>"
17,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020101904425"">30대 남성의 수상한 기록, 2년여간 식욕억제제 2만정 타갔다</a>","<span class=""info_news"">머니투데이</span>"
18,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020101835398"">'불청' 김홍표 ""교통사고로 4번 대수술, 일용직 조경에 대리운전도""</a>","<span class=""info_news"">뉴스엔</span>"
