,과정명,학원명,기간,훈련비,정원,취업률,연령대
0,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29
1,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,31
2,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,302400,500,26.7,46
3,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,31
4,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,49
5,소방설비(산업)기사전기필기,중앙소방안전학원,26,484300,60,57.1,43
6,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,28,936320,18,,33
7,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29
8,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,27
9,캐드디자인도면작성(CAD2D+3D)+ATC캐드마스터 실기,(주)하이미디어컴퓨터학원,40,1331000,30,,36
10,행정법률사무원 실무양성과정,국민법률세무교육원,21,936320,30,61.8,29
11,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31
12,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30
13,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33
14,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30
15,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,31
16,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39
17,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,46
18,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29
19,소방설비기사/산업기사 필기 자격취득반[전기분야-이론],대영소방전문학원,15,465670,31,58.3,44
20,(과정평가형)위험물산업기사_2020,모아소방전기학원,86,4004400,23,64.3,44
21,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,28
22,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,29
23,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33
24,위험물기능사(필기+실기) 자격증 과정,여수노진식취업멘토학원,28,682990,35,,23
25,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,31
26,소방설비(산업)기사전기실기,중앙소방안전학원,15,279400,60,57.1,45
27,소방설비(산업)기사기계실기,중앙소방안전학원,15,279400,60,57.1,50
28,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30
29,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,28
30,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,29
31,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,26
32,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,30
33,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,28
34,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30
35,[과정평가형] 소방설비산업기사(전기분야) 자격취득과정,대영소방전문학원,86,4004400,25,58.3,32
36,회생파산 및 송무법률사무취업과정,구미직업전문교육센터,14,702240,27,,36
37,개인회생 및 파산 법률사무취업과정,에스앤에스로펌인사노무학원,18,300960,23,,29
38,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30
39,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29
40,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30
41,(과정평가형)소방설비산업기사(전기)_2020,모아소방전기학원,86,4004400,20,64.3,34
42,소방설비산업기사(전기)[과정평가형],서남직업전문학교,86,8326500,20,,41
43,소방설비기사/산업기사 자격취득반[실기+전기전공],대영소방전문학원,15,558810,60,58.3,43
44,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30
45,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33
46,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,27
47,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,27
48,(과정평가형)소방설비산업기사(전기),모아AI직업전문학교,75,4004400,20,,33
49,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,39
50,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,31
51,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,43
52,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,32
53,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,31
54,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,35
55,위험물기능사(필기+실기) 자격증 과정,여수노진식취업멘토학원,28,682990,35,,23
56,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,39
57,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29
58,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,22,936320,18,,37
59,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30
60,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,30
61,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,40,936320,18,,38
62,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30
63,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,25
64,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,44
65,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,28
66,[과정평가형]소방설비산업기사(전기분야),세영직업전문학교,92,4284700,20,40,39
67,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29
68,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29
69,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,22,936320,18,,39
70,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30
71,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29
72,[과정평가형]소방설비산업기사(기계분야),세영직업전문학교,86,4324750,20,40,36
73,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,29
74,AutoCAD2D+Inventor3D(캐드특허도면작성+ATC캐드마스터1급),하이컴퓨터그래픽전산회계학원,61,1996500,22,71.4,32
75,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,28
76,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30
77,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,28
78,소방설비기사/산업기사 필기반(전기분야-이론),대영소방전문학원,18,558810,60,58.3,39
79,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,34,,30
80,개인회생 및 파산 법률사무취업과정,에스앤에스로펌인사노무학원,23,300960,23,,34
81,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29
82,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,32
83,(과정평가형)소방설비산업기사(기계)_2020,모아소방전기학원,75,4004400,20,64.3,35
84,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29
85,소방설비산업기사(전기분야) 취득과정A,대산직업전문학교,101,4671800,30,,39
86,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,28
87,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,31
88,소방설비기사/산업기사 필기 자격취득반(전기분야-문제풀이),대영소방전문학원,15,465670,60,58.3,45
89,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31
90,위험물기능사 자격대비과정(필기+실기),여수노진식취업멘토학원,28,682990,35,,25
91,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,28
92,행정법률사무원 취업과정,탑직업교육센터,24,802560,12,,41
93,AutoCAD2D+Inventor3D(캐드특허도면작성+ATC캐드마스터1급),하이컴퓨터그래픽전산회계학원,61,1996500,22,71.4,28
