created,tweet_text
2020-10-30 00:10:26,"코로나19로 바뀐 일상…""건강관리도 비대면으로"" 홈트레닝 활성화·마라톤 대회까지 비대면으로 진행
건식시장 5조원대 급성장…HK inno.N '뉴틴몰' 주목https://t.co/q4Y5Uxj4lU #김수현… https://t.co/8C3tmtSmpA"
2020-10-30 00:10:26,RT @charisclinic: 리) 코로나 한국이 제일 심한 나라중 하나였을때 내가 했던 예언 아닌 예언 생각난다... 한국이 잘 막아내고 오히려 수혜 입을거라거 했었던듯... 오늘 국내 주식시장이 미국 유럽과 디커플링 패턴을 일부 보이는 거 보면…
2020-10-30 00:10:20,"RT @treasuremembers: 안녕하세요 트메~! 예담이에요
요즘 코로나 19 때문에 평소같지 않고 무기력하고 답답하겠지만..ㅠ 저희의 많은 컨텐츠들과 노래들 들으면서 같이 이겨나가요💜 
앞으로 트위터로 소통 많이 하면서 더욱 돈독해지는 트레…"
2020-10-30 00:10:19,"삼성전자도 코로나속 사상 최대 매출. 3분기 매출 67조, 영업익 12.3조 전년 동기 각각 8%, 58.5% 증가. https://t.co/LsGLC5qql4 미국 테크기업들의 호실적과 같이 가는 느낌. https://t.co/DapIPAziwm"
2020-10-30 00:10:18,"RT @Terminator261: 조국장관 덕분에 고위 공직자들의 추잡스런 행태가 다 드러나고, 코로나 덕분에 선진국들이라는 것들의 밑바닥을 요즘 실컷 보고 있다.
조국장관 아니었으면, 아직까지 지들끼리 해 쳐먹는다고 주접을 쌌을것이다.
물론, 아직…"
2020-10-30 00:10:15,비말차단마스크 KF80 유한킴벌리 국산 덴탈 마스크 50매 미세먼지마스크 https://t.co/RDjVtY8ZEe 코로나19 확산 KF94 코로나 확진자 방문 사회적 거리두기 7ewv
2020-10-30 00:10:14,"RT @drawingyeondoo: 백악관이 ‘코로나 대유행을 통제하지 않을 것’이라는 발표를 했어요. 안 그래도 한국의 방역의 구멍인, 마스크조차 제대로 끼고 다니지 않아서 우리 국민들의 건강을 위협하는 주한미군이 이걸 본다면 더 방역을 소홀히 하…"
2020-10-30 00:10:09,RT @dn1129_: +그때가 학교기준으로 알리면 안될시기였던게 우리학교가 phase 1에서 phase2로 옮겨간 모범학교였던거임. 뉴저지가 코로나 사건이 뉴욕 다음으로 많아서 다른학교 다닫고 그랬는데 우리학교만 깨끗한거라 상도 받도 그랬음. 덕분…
2020-10-30 00:10:07,@skypark1090 본인 지지자들을 코로나로 퇴치할 생각인가봅니다... 가는데마다 확진자수가 최고네요
2020-10-30 00:10:00,"미국서 입국한 주한미군 관련 8명 코로나19 확진
https://t.co/jUPg6Rb78w"
2020-10-30 00:10:00,"RT @Seoul_James_146: 🚨 신천지, 코로나19 치료제 개발 위해 '2차 혈장공여'..""1100여명 참여예정""

* 출처 : 뉴스1
https://t.co/cwRjudy0Rb

#코로나치료제 
#혈장치료제 
#신천지_혈장공여"
2020-10-30 00:09:54,"RT @tallbluebird: 유로 저 개눔들은 왜 유명희 반대하구
지룰이야?
모르긴 몰라도,
세계적으로 선진국 대열이던 지들이
코로나를 거치면서 철저히 망가진것에
대한 허탈감,
방역으로 세계를 선도하는 한국에 대한
질시가 조금은 작용하지 않았을까?"
2020-10-30 00:09:53,"RT @ggholic: 🚨심야 합동점검 실시 안내🚨
10월 30일 22시부터 핼러윈데이를 맞아 경기도 내 고위험시설을 대상으로 코로나19 방역수칙 이행 여부를 점검합니다. 
클럽, 행사 등 참석을 자제하고, 감염위험이 높은 시설 운영 시 방역수칙을…"
2020-10-30 00:09:48,뭣보다 코로나확진자수 급상승에다가 미국총선이 4일밖에 안남아서....
2020-10-30 00:09:47,@ohiwatchurpain 저 노래방러버인데 코로나로 노래방못간지 일년반이되가서.....시간이되신다면 양킬로 꼭 봐주세여ㅠㅠㅠㅠ커튼콜 춤추는거 진짜너무 신납니다😭😭😭언제든 재관할 상시👌입니당
2020-10-30 00:10:26,"코로나19로 바뀐 일상…""건강관리도 비대면으로"" 홈트레닝 활성화·마라톤 대회까지 비대면으로 진행
건식시장 5조원대 급성장…HK inno.N '뉴틴몰' 주목https://t.co/q4Y5Uxj4lU #김수현… https://t.co/8C3tmtSmpA"
2020-10-30 00:10:26,RT @charisclinic: 리) 코로나 한국이 제일 심한 나라중 하나였을때 내가 했던 예언 아닌 예언 생각난다... 한국이 잘 막아내고 오히려 수혜 입을거라거 했었던듯... 오늘 국내 주식시장이 미국 유럽과 디커플링 패턴을 일부 보이는 거 보면…
2020-10-30 00:10:20,"RT @treasuremembers: 안녕하세요 트메~! 예담이에요
요즘 코로나 19 때문에 평소같지 않고 무기력하고 답답하겠지만..ㅠ 저희의 많은 컨텐츠들과 노래들 들으면서 같이 이겨나가요💜 
앞으로 트위터로 소통 많이 하면서 더욱 돈독해지는 트레…"
2020-10-30 00:10:19,"삼성전자도 코로나속 사상 최대 매출. 3분기 매출 67조, 영업익 12.3조 전년 동기 각각 8%, 58.5% 증가. https://t.co/LsGLC5qql4 미국 테크기업들의 호실적과 같이 가는 느낌. https://t.co/DapIPAziwm"
2020-10-30 00:10:18,"RT @Terminator261: 조국장관 덕분에 고위 공직자들의 추잡스런 행태가 다 드러나고, 코로나 덕분에 선진국들이라는 것들의 밑바닥을 요즘 실컷 보고 있다.
조국장관 아니었으면, 아직까지 지들끼리 해 쳐먹는다고 주접을 쌌을것이다.
물론, 아직…"
